Mothers Single Race Code,Average Age of Mother Code,Mothers Education Code,Delivery Method Code,Deaths,Births,DeathRate
5,17,2,1,12,846,14.18
5,17,2,1,15,1050,14.29
5,17,2,1,27,2091,12.91
5,22,2,1,13,916,14.19
5,22,2,1,17,1238,13.73
5,22,3,1,20,20,1000
5,22,3,1,35,2458,14.24
5,22,3,2,16,875,18.29
5,22,3,2,51,3335,15.29
5,22,4,1,16,1322,12.1
5,22,4,2,21,1782,11.78
5,22,2,2,102,6847,14.9
5,27,2,1,12,631,19.02
5,27,2,1,17,908,18.72
5,27,3,1,11,11,1000
5,27,3,1,21,1732,12.12
5,27,3,2,10,834,11.99
5,27,3,2,31,2566,12.08
5,27,4,1,21,1423,14.76
5,27,4,1,29,2137,13.57
5,27,5,2,11,596,18.46
5,27,2,2,109,7152,15.24
5,32,3,1,15,15,1000
5,32,3,1,22,801,27.47
5,32,3,1,28,1259,22.24
5,32,4,1,18,722,24.93
5,32,4,1,24,1191,20.15
5,32,2,1,69,4642,14.86
5,37,3,1,12,528,22.73
5,37,2,1,31,2225,13.93
3,17,2,1,19,1808,10.51
3,17,2,1,24,2255,10.64
3,17,3,1,17,1833,9.27
3,17,3,1,22,2311,9.52
3,17,2,2,50,5178,9.66
3,22,2,1,18,2047,8.79
3,22,2,2,27,2828,9.55
3,22,3,1,15,15,1000
3,22,3,1,55,7542,7.29
3,22,3,2,29,2745,10.56
3,22,3,2,84,10290,8.16
3,22,4,1,10,3970,2.52
3,22,4,2,11,1356,8.11
3,22,4,2,21,5326,3.94
3,22,2,1,158,21843,7.23
3,27,2,1,12,1250,9.6
3,27,2,1,17,1856,9.16
3,27,3,1,34,5427,6.26
3,27,3,2,18,2532,7.11
3,27,3,1,52,7962,6.53
3,27,4,1,18,4922,3.66
3,27,4,2,12,2195,5.47
3,27,4,1,30,7118,4.21
3,27,5,1,10,2831,3.53
3,27,5,1,19,4031,4.71
3,27,6,1,18,5867,3.07
3,27,6,2,26,7871,3.3
3,32,3,2,17,1451,11.72
3,32,3,2,26,4125,6.3
3,32,4,1,18,2970,6.06
3,32,4,2,11,1628,6.76
3,32,4,1,29,4599,6.31
3,32,5,2,11,1277,8.61
3,32,5,1,18,3534,5.09
3,32,6,1,12,6465,1.86
3,32,6,2,16,2872,5.57
3,32,6,2,28,9343,3
3,37,3,2,14,1665,8.41
3,37,6,2,17,3742,4.54
3,37,2,2,62,12579,4.93
3,60.5,2,2,14,2109,6.64
3,37,2,2,581,104917,5.54
2,22,2,2,10,1357,7.37
2,22,2,1,25,3658,6.83
