State_of_Residence,State_of_Residence_Code,County_of_Residence,County_of_Residence_Code,2013_Metro/Nonmetro,2013_Metro/Nonmetro_Code,Births,%_of_Total_Births,Average_Age_of _Mother_(years),Average_OE_Gestational_Age_(weeks),Average_Birth_Weight_(grams),Average_Pre_Pregnancy_BMI,Average_Number_of_Prenatal_Visits,Average_Interval_Since_Last_Other_Pregnancy_Outcome_(months)
Alabama,1,Baldwin,1003,Metro,Metro,2290,0.06%,28.01,38.23,3258.78,27.28,11.41,45.87
Alabama,1,Calhoun,1015,Metro,Metro,1265,0.03%,26.67,38.11,3168.14,28.85,10.45,41.11
Alabama,1,Etowah,1055,Metro,Metro,1191,0.03%,26.51,38.22,3190.27,28.85,9.62,48.44
Alabama,1,Houston,1069,Metro,Metro,1368,0.04%,27.04,38.29,3206.84,29.33,11.29,38.53
Alabama,1,Jefferson,1073,Metro,Metro,8437,0.22%,28.44,38.24,3161.29,27.67,10.27,52.84
Alabama,1,Lee,1081,Metro,Metro,1810,0.05%,28.18,38.24,3218.48,27.38,12.89,41.63
Alabama,1,Madison,1089,Metro,Metro,4262,0.11%,28.65,38.02,3180.03,27.65,9.8,42.1
Alabama,1,Mobile,1097,Metro,Metro,5549,0.15%,27.25,37.95,3129.31,28.05,10.87,45.3
Alabama,1,Montgomery,1101,Metro,Metro,3139,0.08%,27.48,37.9,3083.55,28.68,10.06,55.67
Alabama,1,Morgan,1103,Metro,Metro,1432,0.04%,26.91,38.14,3205.34,28.04,10.65,43.11
Alabama,1,Shelby,1117,Metro,Metro,2250,0.06%,29.45,38.46,3284.24,27.38,10.42,47.14
Alabama,1,Tuscaloosa,1125,Metro,Metro,2406,0.06%,27.43,38.23,3193.12,28.09,9.79,46.45
Alabama,1,Unidentified,1999,Metro,Metro,9386,0.25%,26.99,38.2,3220.36,28.28,10.78,49.17
Alabama,1,Unidentified,1999,Nonmetro,Nonmetro,12976,0.34%,26.42,38.15,3182.33,28.62,10.35,48.27
Alaska,2,Anchorage,2020,Metro,Metro,3975,0.10%,29.11,38.54,3361.2,27.62,11.1,47.59
Alaska,2,Unidentified,2999,Metro,Metro,2918,0.08%,28.19,38.74,3417.14,27.01,11.02,46.06
Alaska,2,Unidentified,2999,Nonmetro,Nonmetro,3193,0.08%,28.21,38.51,3433.24,27.26,10.19,51.87
Arizona,4,Cochise,4003,Metro,Metro,1354,0.04%,27.34,38.59,3247.36,27.28,8.71,53.08
Arizona,4,Coconino,4005,Metro,Metro,1506,0.04%,28.18,38.5,3226.7,26.93,10.51,52.91
Arizona,4,Maricopa,4013,Metro,Metro,51854,1.37%,28.69,38.44,3281.98,27.06,11.09,53.02
Arizona,4,Mohave,4015,Metro,Metro,1796,0.05%,27.09,38.52,3289.4,27.61,10.66,53.57
Arizona,4,Navajo,4017,Nonmetro,Nonmetro,1381,0.04%,27.14,38.35,3211.44,28.43,9.74,57.99
Arizona,4,Pima,4019,Metro,Metro,10671,0.28%,28.36,38.48,3244.32,27.16,9.56,55.82
Arizona,4,Pinal,4021,Metro,Metro,4498,0.12%,27.81,38.48,3310.29,28.09,11.67,56.48
Arizona,4,Yavapai,4025,Metro,Metro,1772,0.05%,27.7,38.53,3260.13,26.5,11.43,55.69
Arizona,4,Yuma,4027,Metro,Metro,3034,0.08%,27.06,38.57,3336.28,28.52,9.7,52.68
Arizona,4,Unidentified,4999,Nonmetro,Nonmetro,2857,0.08%,27.14,38.29,3249.31,27.89,9.09,52.55
Arkansas,5,Benton,5007,Metro,Metro,3778,0.10%,28.32,38.31,3291.23,27.05,11.37,46.74
Arkansas,5,Faulkner,5045,Metro,Metro,1467,0.04%,27.73,38.33,3297.1,28.69,11.46,49.57
