Race,Year,Infant Mortality Rate
Black,1915,195.2
Black,1916,184.3
Black,1917,173.4
Black,1918,162.5
Black,1919,134.3
Black,1920,135.6
Black,1921,110.7
Black,1922,111.6
Black,1923,119.9
Black,1924,114.1
Black,1925,112
Black,1926,112.1
Black,1927,99.9
Black,1928,105.9
Black,1929,101.5
Black,1930,99.5
Black,1931,92.7
Black,1932,84.1
Black,1933,85.4
Black,1934,91
Black,1935,81.9
Black,1936,86.1
Black,1937,82
Black,1938,77.9
Black,1939,73.2
Black,1940,72.9
Black,1941,74.1
Black,1942,64.2
Black,1943,61.5
Black,1944,59.3
Black,1945,56.2
Black,1946,48.8
Black,1947,47.7
Black,1948,45.7
Black,1949,46.8
Black,1950,43.9
Black,1951,44.3
Black,1952,46.9
Black,1953,44.5
Black,1954,42.9
Black,1955,43.1
Black,1956,42.4
Black,1957,44.2
Black,1958,46.3
Black,1959,44.8
Black,1960,44.3
Black,1961,41.8
Black,1962,42.6
Black,1963,42.8
Black,1964,42.3
Black,1965,41.7
Black,1966,40.2
Black,1967,37.5
Black,1968,36.2
Black,1969,34.8
Black,1970,33.3
Black,1971,30.9
Black,1972,30.3
Black,1973,28.8
Black,1974,27.5
Black,1975,27
Black,1976,26.4
Black,1977,24.4
Black,1978,23.9
Black,1979,22.6
Black,1980,22.2
Black,1981,20.8
Black,1982,20.5
Black,1983,20
Black,1984,19.2
Black,1985,19
Black,1986,18.9
Black,1987,18.8
Black,1988,18.5
Black,1989,18.6
Black,1990,18
Black,1991,17.6
Black,1992,16.8
Black,1993,16.5
Black,1994,15.8
Black,1995,15.1
Black,1996,14.7
Black,1997,14.2
Black,1998,14.3
Black,1999,14.6
Black,2000,14.1
Black,2001,14
Black,2002,14.4
Black,2003,13.5
Black,2004,13.25
Black,2005,13.26
Black,2006,12.9
Black,2007,13.31
Black,2008,12.67
Black,2009,12.4
Black,2010,11.46
Black,2011,11.15
Black,2012,10.87
White,1915,98.6
White,1916,99
White,1917,98.2
White,1918,97.4
White,1919,83
White,1920,82.1
White,1921,72.5
White,1922,73.2
White,1923,73.5
White,1924,66.8
White,1925,68.3
White,1926,70
White,1927,60.6
White,1928,64
White,1929,63.2
White,1930,60.1
White,1931,57.4
White,1932,53.3
White,1933,52.8
White,1934,54.5
White,1935,51.9
White,1936,52.9
White,1937,50.3
White,1938,47.1
White,1939,44.3
White,1940,43.2
White,1941,41.2
White,1942,37.3
White,1943,37.5
White,1944,36.9
White,1945,35.6
White,1946,31.8
White,1947,30.1
White,1948,29.9
White,1949,28.9
White,1950,26.8
White,1951,25.8
White,1952,25.5
White,1953,25
White,1954,23.9
White,1955,23.6
White,1956,23.2
White,1957,23.3
White,1958,23.8
White,1959,23.2
White,1960,22.9
White,1961,22.4
White,1962,22.3
White,1963,22.2
White,1964,21.6
White,1965,21.5
White,1966,20.6
White,1967,19.7
White,1968,19.2
White,1969,18.4
White,1970,17.6
White,1971,17
White,1972,16.2
White,1973,15.6
White,1974,14.7
White,1975,14
White,1976,13.2
White,1977,12.2
White,1978,11.9
White,1979,11.3
White,1980,10.9
White,1981,10.3
White,1982,9.9
White,1983,9.6
White,1984,9.3
White,1985,9.2
White,1986,8.8
White,1987,8.5
White,1988,8.4
White,1989,8.1
White,1990,7.6
White,1991,7.3
White,1992,6.9
White,1993,6.8
White,1994,6.6
White,1995,6.3
White,1996,6.1
White,1997,6
White,1998,6
White,1999,5.8
White,2000,5.7
White,2001,5.7
White,2002,5.8
White,2003,5.72
White,2004,5.66
White,2005,5.73
White,2006,5.57
White,2007,5.63
White,2008,5.52
White,2009,5.33
White,2010,5.18
White,2011,5.12
White,2012,5.09
White,2013,5.07
Black ,2013,10.81
