DEATH,COUNTY,ETHNICITY,RACE,DEATHS
2007,Adams,Hispanic,White,*
2008,Adams,Hispanic,White,*
2009,Adams,Hispanic,White,*
2010,Adams,Hispanic,White,*
2011,Adams,Hispanic,White,*
2012,Adams,Hispanic,White,*
2013,Adams,Hispanic,White,*
2014,Adams,Hispanic,White,*
2015,Adams,Hispanic,White,*
2016,Adams,Hispanic,White,*
2017,Adams,Hispanic,White,*
2018,Adams,Hispanic,White,0
2019,Adams,Hispanic,White,0
2007,Adams,Hispanic,Black,0
2008,Adams,Hispanic,Black,0
2009,Adams,Hispanic,Black,0
2010,Adams,Hispanic,Black,*
2011,Adams,Hispanic,Black,0
2012,Adams,Hispanic,Black,0
2013,Adams,Hispanic,Black,*
2014,Adams,Hispanic,Black,*
2015,Adams,Hispanic,Black,0
2016,Adams,Hispanic,Black,0
2017,Adams,Hispanic,Black,0
2018,Adams,Hispanic,Black,0
2019,Adams,Hispanic,Black,1
2007,Adams,Hispanic,American Indian,0
2008,Adams,Hispanic,American Indian,0
2009,Adams,Hispanic,American Indian,0
2010,Adams,Hispanic,American Indian,*
2011,Adams,Hispanic,American Indian,0
2012,Adams,Hispanic,American Indian,0
2013,Adams,Hispanic,American Indian,0
2014,Adams,Hispanic,American Indian,0
2015,Adams,Hispanic,American Indian,0
2016,Adams,Hispanic,American Indian,0
2017,Adams,Hispanic,American Indian,0
2018,Adams,Hispanic,American Indian,0
2019,Adams,Hispanic,American Indian,0
2007,Adams,Hispanic,Asian/Pacific Islander,0
2008,Adams,Hispanic,Asian/Pacific Islander,0
2009,Adams,Hispanic,Asian/Pacific Islander,0
2010,Adams,Hispanic,Asian/Pacific Islander,0
2011,Adams,Hispanic,Asian/Pacific Islander,0
2012,Adams,Hispanic,Asian/Pacific Islander,0
2013,Adams,Hispanic,Asian/Pacific Islander,0
2014,Adams,Hispanic,Asian/Pacific Islander,0
2015,Adams,Hispanic,Asian/Pacific Islander,0
2016,Adams,Hispanic,Asian/Pacific Islander,0
2017,Adams,Hispanic,Asian/Pacific Islander,0
2018,Adams,Hispanic,Asian/Pacific Islander,0
2019,Adams,Hispanic,Asian/Pacific Islander,0
2007,Adams,Non-Hispanic,White,5
2008,Adams,Non-Hispanic,White,1
2009,Adams,Non-Hispanic,White,8
2010,Adams,Non-Hispanic,White,2
2011,Adams,Non-Hispanic,White,5
2012,Adams,Non-Hispanic,White,2
2013,Adams,Non-Hispanic,White,5
2014,Adams,Non-Hispanic,White,4
2015,Adams,Non-Hispanic,White,2
2016,Adams,Non-Hispanic,White,4
2017,Adams,Non-Hispanic,White,2
2018,Adams,Non-Hispanic,White,0
2019,Adams,Non-Hispanic,White,0
2007,Adams,Non-Hispanic,Black,*
2008,Adams,Non-Hispanic,Black,*
2009,Adams,Non-Hispanic,Black,*
2010,Adams,Non-Hispanic,Black,*
2011,Adams,Non-Hispanic,Black,*
2012,Adams,Non-Hispanic,Black,0
2013,Adams,Non-Hispanic,Black,0
2014,Adams,Non-Hispanic,Black,*
2015,Adams,Non-Hispanic,Black,*
2016,Adams,Non-Hispanic,Black,*
2017,Adams,Non-Hispanic,Black,0
2018,Adams,Non-Hispanic,Black,*
2019,Adams,Non-Hispanic,Black,*
2007,Adams,Non-Hispanic,American Indian,*
2008,Adams,Non-Hispanic,American Indian,*
2009,Adams,Non-Hispanic,American Indian,*
2010,Adams,Non-Hispanic,American Indian,*
2011,Adams,Non-Hispanic,American Indian,*
2012,Adams,Non-Hispanic,American Indian,*
2013,Adams,Non-Hispanic,American Indian,0
2014,Adams,Non-Hispanic,American Indian,*
2015,Adams,Non-Hispanic,American Indian,*
2016,Adams,Non-Hispanic,American Indian,*
2017,Adams,Non-Hispanic,American Indian,0
2018,Adams,Non-Hispanic,American Indian,*
2019,Adams,Non-Hispanic,American Indian,*
2007,Adams,Non-Hispanic,Asian/Pacific Islander,0
2008,Adams,Non-Hispanic,Asian/Pacific Islander,0
2009,Adams,Non-Hispanic,Asian/Pacific Islander,0
2010,Adams,Non-Hispanic,Asian/Pacific Islander,*
2011,Adams,Non-Hispanic,Asian/Pacific Islander,*
2012,Adams,Non-Hispanic,Asian/Pacific Islander,0
2013,Adams,Non-Hispanic,Asian/Pacific Islander,0
2014,Adams,Non-Hispanic,Asian/Pacific Islander,0
2015,Adams,Non-Hispanic,Asian/Pacific Islander,0
2016,Adams,Non-Hispanic,Asian/Pacific Islander,0
2017,Adams,Non-Hispanic,Asian/Pacific Islander,0
