YEAR,COUNTY,DEATHS
2007,Adams,5
2008,Adams,1
2009,Adams,8
2010,Adams,2
2011,Adams,6
2012,Adams,2
2013,Adams,5
2014,Adams,4
2015,Adams,2
2016,Adams,4
2017,Adams,2
2018,Adams,0
2019,Adams,1
2007,Allen,6
2008,Allen,13
2009,Allen,11
2010,Allen,8
2011,Allen,4
2012,Allen,12
2013,Allen,6
2014,Allen,11
2015,Allen,8
2016,Allen,10
2017,Allen,11
2018,Allen,10
2019,Allen,6
2007,Ashland,0
2008,Ashland,8
2009,Ashland,4
2010,Ashland,2
2011,Ashland,1
2012,Ashland,2
2013,Ashland,3
2014,Ashland,2
2015,Ashland,6
2016,Ashland,8
2017,Ashland,0
2018,Ashland,6
2019,Ashland,5
2007,Ashtabula,13
2008,Ashtabula,8
2009,Ashtabula,13
2010,Ashtabula,10
2011,Ashtabula,10
2012,Ashtabula,9
2013,Ashtabula,7
2014,Ashtabula,11
2015,Ashtabula,6
2016,Ashtabula,4
2017,Ashtabula,8
2018,Ashtabula,8
2019,Ashtabula,5
2007,Athens,2
2008,Athens,2
2009,Athens,3
2010,Athens,2
2011,Athens,6
2012,Athens,1
2013,Athens,5
2014,Athens,5
2015,Athens,4
2016,Athens,5
2017,Athens,4
2018,Athens,3
2019,Athens,1
2007,Auglaize,2
2008,Auglaize,4
2009,Auglaize,5
2010,Auglaize,2
2011,Auglaize,4
2012,Auglaize,3
2013,Auglaize,3
2014,Auglaize,1
2015,Auglaize,2
2016,Auglaize,5
2017,Auglaize,3
2018,Auglaize,7
2019,Auglaize,2
2007,Belmont,2
2008,Belmont,3
2009,Belmont,5
2010,Belmont,6
2011,Belmont,7
2012,Belmont,4
2013,Belmont,6
2014,Belmont,2
2015,Belmont,9
2016,Belmont,2
2017,Belmont,4
2018,Belmont,4
2019,Belmont,5
2007,Brown,6
2008,Brown,3
2009,Brown,9
2010,Brown,5
2011,Brown,4
2012,Brown,5
2013,Brown,5
2014,Brown,6
2015,Brown,2
2016,Brown,3
2017,Brown,6
2018,Brown,3
2019,Brown,4
2007,Butler,33
2008,Butler,33
2009,Butler,36
2010,Butler,26
2011,Butler,39
2012,Butler,39
2013,Butler,42
2014,Butler,39
2015,Butler,33
2016,Butler,31
2017,Butler,23
2018,Butler,38
2019,Butler,22
2007,Carroll,4
2008,Carroll,2
2009,Carroll,4
2010,Carroll,1
2011,Carroll,1
2012,Carroll,3
2013,Carroll,2
2014,Carroll,2
2015,Carroll,1
2016,Carroll,2
2017,Carroll,1
2018,Carroll,1
2019,Carroll,2
2007,Champaign,2
2008,Champaign,4
2009,Champaign,2
2010,Champaign,4
2011,Champaign,2
2012,Champaign,2
2013,Champaign,1
2014,Champaign,1
2015,Champaign,8
2016,Champaign,2
2017,Champaign,3
2018,Champaign,2
2019,Champaign,1
2007,Clark,10
2008,Clark,9
2009,Clark,13
2010,Clark,20
2011,Clark,5
2012,Clark,6
2013,Clark,9
2014,Clark,13
2015,Clark,6
2016,Clark,20
2017,Clark,10
2018,Clark,9
2019,Clark,5
2007,Clermont,16
2008,Clermont,19
2009,Clermont,15
2010,Clermont,14
2011,Clermont,18
2012,Clermont,20
2013,Clermont,12
2014,Clermont,16
2015,Clermont,16
2016,Clermont,15
2017,Clermont,13
2018,Clermont,19
2019,Clermont,4
2007,Clinton,4
2008,Clinton,6
2009,Clinton,6
2010,Clinton,4
2011,Clinton,5
2012,Clinton,4
2013,Clinton,6
2014,Clinton,1
2015,Clinton,4
2016,Clinton,5
2017,Clinton,3
2018,Clinton,6
2019,Clinton,0
2007,Columbiana,8
2008,Columbiana,6
2009,Columbiana,5
2010,Columbiana,11
2011,Columbiana,5
2012,Columbiana,5
