DEATH,COUNTY,DEATHS
2007,Adams,294
2008,Adams,314
2009,Adams,314
2010,Adams,324
2011,Adams,309
2012,Adams,328
2013,Adams,337
2014,Adams,314
2015,Adams,347
2016,Adams,367
2017,Adams,352
2018,Adams,338
2019,Adams,282
2007,Allen,1030
2008,Allen,1045
2009,Allen,1045
2010,Allen,1081
2011,Allen,1051
2012,Allen,1111
2013,Allen,1083
2014,Allen,1096
2015,Allen,1111
2016,Allen,1131
2017,Allen,1142
2018,Allen,1161
2019,Allen,896
2007,Ashland,480
2008,Ashland,502
2009,Ashland,535
2010,Ashland,527
2011,Ashland,531
2012,Ashland,565
2013,Ashland,548
2014,Ashland,549
2015,Ashland,536
2016,Ashland,609
2017,Ashland,568
2018,Ashland,594
2019,Ashland,448
2007,Ashtabula,1100
2008,Ashtabula,1112
2009,Ashtabula,1088
2010,Ashtabula,1109
2011,Ashtabula,1180
2012,Ashtabula,1136
2013,Ashtabula,1193
2014,Ashtabula,1156
2015,Ashtabula,1206
2016,Ashtabula,1172
2017,Ashtabula,1233
2018,Ashtabula,1249
2019,Ashtabula,905
2007,Athens,465
2008,Athens,456
2009,Athens,466
2010,Athens,512
2011,Athens,500
2012,Athens,455
2013,Athens,412
2014,Athens,488
2015,Athens,513
2016,Athens,463
2017,Athens,496
2018,Athens,504
2019,Athens,370
2007,Auglaize,505
2008,Auglaize,465
2009,Auglaize,461
2010,Auglaize,469
2011,Auglaize,459
2012,Auglaize,500
2013,Auglaize,476
2014,Auglaize,480
2015,Auglaize,500
2016,Auglaize,509
2017,Auglaize,479
2018,Auglaize,522
2019,Auglaize,382
2007,Belmont,894
2008,Belmont,913
2009,Belmont,853
2010,Belmont,939
2011,Belmont,923
2012,Belmont,919
2013,Belmont,874
2014,Belmont,824
2015,Belmont,893
2016,Belmont,890
2017,Belmont,924
2018,Belmont,936
2019,Belmont,666
2007,Brown,434
2008,Brown,480
2009,Brown,436
2010,Brown,466
2011,Brown,465
2012,Brown,467
2013,Brown,501
2014,Brown,485
