"Notes"	"State"	"State Code"	"County"	"County Code"	"Mother's Single Race"	"Mother's Single Race Code"	"Year of Death"	"Year of Death Code"	"Gender"	"Gender Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	23	1962	11.72
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	32	1997	16.02
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	15	2118	7.08 (Unreliable)
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	15	1218	12.32 (Unreliable)
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	11	1449	7.59 (Unreliable)
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	54	5301	10.19
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	59	5529	10.67
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	72	13805	5.22
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	95	14391	6.60
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	"American Indian or Alaska Native"	"1002-5"	"2017"	"2017"	"Male"	"M"	10	822	12.17 (Unreliable)
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	10	1300	7.69 (Unreliable)
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	18	1842	9.77 (Unreliable)
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	22	1977	11.13
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	98	21399	4.58
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	132	21985	6.00
