Type,Year,Mortality Rate
Neonatal,1915,44.4
Neonatal,1916,44.1
Neonatal,1917,43.4
Neonatal,1918,44.2
Neonatal,1919,41.5
Neonatal,1920,41.5
Neonatal,1921,39.7
Neonatal,1922,39.7
Neonatal,1923,39.5
Neonatal,1924,38.6
Neonatal,1925,37.8
Neonatal,1926,37.9
Neonatal,1927,36.1
Neonatal,1928,37.2
Neonatal,1929,36.9
Neonatal,1930,35.7
Neonatal,1931,34.6
Neonatal,1932,33.5
Neonatal,1933,34
Neonatal,1934,34.1
Neonatal,1935,32.4
Neonatal,1936,32.6
Neonatal,1937,31.3
Neonatal,1938,29.6
Neonatal,1939,29.3
Neonatal,1940,28.8
Neonatal,1941,27.7
Neonatal,1942,25.7
Neonatal,1943,24.7
Neonatal,1944,24.7
Neonatal,1945,24.3
Neonatal,1946,24
Neonatal,1947,22.8
Neonatal,1948,22.2
Neonatal,1949,21.4
Neonatal,1950,20.5
Neonatal,1951,20
Neonatal,1952,19.8
Neonatal,1953,19.6
Neonatal,1954,19.1
Neonatal,1955,19.1
Neonatal,1956,18.9
Neonatal,1957,19.1
Neonatal,1958,19.5
Neonatal,1959,19
Neonatal,1960,18.7
Neonatal,1961,18.4
Neonatal,1962,18.3
Neonatal,1963,18.2
Neonatal,1964,17.9
Neonatal,1965,17.7
Neonatal,1966,17.2
Neonatal,1967,16.5
Neonatal,1968,16.1
Neonatal,1969,15.6
Neonatal,1970,15.1
Neonatal,1971,14.2
Neonatal,1972,13.6
Neonatal,1973,13
Neonatal,1974,12.3
Neonatal,1975,11.6
Neonatal,1976,10.9
Neonatal,1977,9.9
Neonatal,1978,9.5
Neonatal,1979,8.9
Neonatal,1980,8.5
Neonatal,1981,8
Neonatal,1982,7.7
Neonatal,1983,7.3
Neonatal,1984,7
Neonatal,1985,7
Neonatal,1986,6.7
Neonatal,1987,6.5
Neonatal,1988,6.3
Neonatal,1989,6.2
Neonatal,1990,5.8
Neonatal,1991,5.6
Neonatal,1992,5.4
Neonatal,1993,5.3
Neonatal,1994,5.1
Neonatal,1995,4.9
Neonatal,1996,4.8
Neonatal,1997,4.8
Neonatal,1998,4.8
Neonatal,1999,4.7
Neonatal,2000,4.6
Neonatal,2001,4.5
Neonatal,2002,4.7
Infant,1915,99.9
Infant,1916,101
Infant,1917,93.8
Infant,1918,100.9
Infant,1919,86.6
Infant,1920,85.8
Infant,1921,75.6
Infant,1922,76.2
Infant,1923,77.1
Infant,1924,70.8
Infant,1925,71.7
Infant,1926,73.3
Infant,1927,64.6
Infant,1928,68.7
Infant,1929,67.6
Infant,1930,64.6
Infant,1931,61.6
Infant,1932,57.6
Infant,1933,58.1
Infant,1934,60.1
Infant,1935,55.7
Infant,1936,57.1
Infant,1937,54.4
Infant,1938,51
Infant,1939,48
Infant,1940,47
Infant,1941,45.3
Infant,1942,40.4
Infant,1943,40.4
Infant,1944,39.8
Infant,1945,38.3
Infant,1946,33.8
Infant,1947,32.2
Infant,1948,32
Infant,1949,31.3
Infant,1950,29.2
Infant,1951,28.4
Infant,1952,28.4
Infant,1953,27.8
Infant,1954,26.6
Infant,1955,26.4
Infant,1956,26
Infant,1957,26.3
Infant,1958,27.1
Infant,1959,26.4
Infant,1960,26
Infant,1961,25.3
Infant,1962,25.3
Infant,1963,25.2
Infant,1964,24.8
Infant,1965,24.7
Infant,1966,23.7
Infant,1967,22.4
Infant,1968,21.8
Infant,1969,20.9
Infant,1970,20
Infant,1971,19.1
Infant,1972,18.5
Infant,1973,17.7
Infant,1974,16.7
Infant,1975,16.1
Infant,1976,15.2
Infant,1977,14.1
Infant,1978,13.8
Infant,1979,13.1
Infant,1980,12.6
Infant,1981,11.9
Infant,1982,11.5
Infant,1983,11.2
Infant,1984,10.8
Infant,1985,10.6
Infant,1986,10.4
Infant,1987,10.1
Infant,1988,10
Infant,1989,9.8
Infant,1990,9.2
Infant,1991,8.9
Infant,1992,8.5
Infant,1993,8.4
Infant,1994,8
Infant,1995,7.6
Infant,1996,7.3
Infant,1997,7.2
Infant,1998,7.2
Infant,1999,7.1
Infant,2000,6.9
Infant,2001,6.8
Infant,2002,7
Neonatal,2009,4.18
Neonatal,2013,4.04
Infant,2011,6.07
Neonatal,2004,4.52
Infant,2003,6.85
Neonatal,2006,4.45
Neonatal,2007,4.37
Infant,2010,6.15
Infant,2005,6.87
Infant,2007,6.77
Infant,2009,6.39
Neonatal,2008,4.29
Infant,2004,6.79
Infant,2012,5.98
Neonatal,2003,4.62
Neonatal,2005,4.54
Infant,2008,6.61
Neonatal,2011,4.06
Infant,2006,6.69
Neonatal,2010,4.05
Infant,2013,5.96
Neonatal,2012,4.01
