Race,Year,Infant Mortality Rate
Black,1915,195.20
Black,1916,184.30
Black,1917,173.40
Black,1918,162.50
Black,1919,134.30
Black,1920,135.60
Black,1921,110.70
Black,1922,111.60
Black,1923,119.90
Black,1924,114.10
Black,1925,112.00
Black,1926,112.10
Black,1927,99.90
Black,1928,105.90
Black,1929,101.50
Black,1930,99.50
Black,1931,92.70
Black,1932,84.10
Black,1933,85.40
Black,1934,91.00
Black,1935,81.90
Black,1936,86.10
Black,1937,82.00
Black,1938,77.90
Black,1939,73.20
Black,1940,72.90
Black,1941,74.10
Black,1942,64.20
Black,1943,61.50
Black,1944,59.30
Black,1945,56.20
Black,1946,48.80
Black,1947,47.70
Black,1948,45.70
Black,1949,46.80
Black,1950,43.90
Black,1951,44.30
Black,1952,46.90
Black,1953,44.50
Black,1954,42.90
Black,1955,43.10
Black,1956,42.40
Black,1957,44.20
Black,1958,46.30
Black,1959,44.80
Black,1960,44.30
Black,1961,41.80
Black,1962,42.60
Black,1963,42.80
Black,1964,42.30
Black,1965,41.70
Black,1966,40.20
Black,1967,37.50
Black,1968,36.20
Black,1969,34.80
Black,1970,33.30
Black,1971,30.90
Black,1972,30.30
Black,1973,28.80
Black,1974,27.50
Black,1975,27.00
Black,1976,26.40
Black,1977,24.40
Black,1978,23.90
Black,1979,22.60
Black,1980,22.20
Black,1981,20.80
Black,1982,20.50
Black,1983,20.00
Black,1984,19.20
Black,1985,19.00
Black,1986,18.90
Black,1987,18.80
Black,1988,18.50
Black,1989,18.60
Black,1990,18.00
Black,1991,17.60
Black,1992,16.80
Black,1993,16.50
Black,1994,15.80
Black,1995,15.10
Black,1996,14.70
Black,1997,14.20
Black,1998,14.30
Black,1999,14.60
Black,2000,14.10
Black,2001,14.00
Black,2002,14.40
Black,2003,13.50
Black,2004,13.25
Black,2005,13.26
Black,2006,12.90
Black,2007,13.31
Black,2008,12.67
Black,2009,12.40
Black,2010,11.46
Black,2011,11.15
Black,2012,10.87
White,1915,98.60
White,1916,99.00
White,1917,98.20
White,1918,97.40
White,1919,83.00
White,1920,82.10
White,1921,72.50
White,1922,73.20
White,1923,73.50
White,1924,66.80
White,1925,68.30
White,1926,70.00
White,1927,60.60
White,1928,64.00
White,1929,63.20
White,1930,60.10
White,1931,57.40
White,1932,53.30
White,1933,52.80
White,1934,54.50
White,1935,51.90
White,1936,52.90
White,1937,50.30
White,1938,47.10
White,1939,44.30
White,1940,43.20
White,1941,41.20
White,1942,37.30
White,1943,37.50
White,1944,36.90
White,1945,35.60
White,1946,31.80
White,1947,30.10
White,1948,29.90
White,1949,28.90
White,1950,26.80
White,1951,25.80
White,1952,25.50
White,1953,25.00
White,1954,23.90
White,1955,23.60
White,1956,23.20
White,1957,23.30
White,1958,23.80
White,1959,23.20
White,1960,22.90
White,1961,22.40
White,1962,22.30
White,1963,22.20
White,1964,21.60
White,1965,21.50
White,1966,20.60
White,1967,19.70
White,1968,19.20
White,1969,18.40
White,1970,17.60
White,1971,17.00
White,1972,16.20
White,1973,15.60
White,1974,14.70
White,1975,14.00
White,1976,13.20
White,1977,12.20
White,1978,11.90
White,1979,11.30
White,1980,10.90
White,1981,10.30
White,1982,9.90
White,1983,9.60
White,1984,9.30
White,1985,9.20
White,1986,8.80
White,1987,8.50
White,1988,8.40
White,1989,8.10
White,1990,7.60
White,1991,7.30
White,1992,6.90
White,1993,6.80
White,1994,6.60
White,1995,6.30
White,1996,6.10
White,1997,6.00
White,1998,6.00
White,1999,5.80
White,2000,5.70
White,2001,5.70
White,2002,5.80
White,2003,5.72
White,2004,5.66
White,2005,5.73
White,2006,5.57
White,2007,5.63
White,2008,5.52
White,2009,5.33
White,2010,5.18
White,2011,5.12
White,2012,5.09
White,2013,5.07
Black ,2013,10.81
