Mother_Education_Code,Mother_Weight_Gain_Code,Pre-pregnancy_Diabetes_Code,Pre-pregnancy_Hypertension_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1.0,0,1,1,3,36.0,830.0,3.0,24.0,45.2,1
1.0,0,1,1,6,39.0,791.0,0.0,23.0,32.4,1
1.0,0,1,1,7,36.0,3560.0,20.0,37.0,38.6,1
1.0,0,1,1,8,35.17,2890.83,9.33,36.67,37.95,6
1.0,0,1,1,9,36.04,3041.73,15.58,38.08,39.78,26
2.0,0,1,1,1,37.0,454.0,11.0,24.0,33.1,1
2.0,0,1,1,2,41.0,404.0,6.0,21.0,33.4,1
2.0,0,1,1,4,37.5,2809.0,23.5,36.0,40.2,2
2.0,0,1,1,5,32.0,1960.6,12.75,33.8,45.68,5
2.0,0,1,1,6,32.33,1591.78,13.0,29.67,37.64,9
2.0,0,1,1,7,36.0,2846.38,8.25,34.25,44.15,8
2.0,0,1,1,8,32.68,2871.24,12.11,35.92,41.99,37
2.0,0,1,1,9,32.37,2996.04,11.81,36.89,43.01,112
3.0,0,1,1,0,39.0,539.0,20.0,25.0,26.7,1
3.0,0,1,1,1,27.5,552.71,6.0,22.88,46.99,8
3.0,0,1,1,2,31.25,871.75,8.25,24.75,43.1,4
3.0,0,1,1,3,30.25,1727.25,5.25,28.75,39.45,4
3.0,0,1,1,4,26.0,2860.5,7.0,36.5,50.85,2
3.0,0,1,1,5,32.88,2746.38,12.62,33.86,41.86,8
3.0,0,1,1,6,31.77,2293.46,10.69,33.85,40.17,13
3.0,0,1,1,7,31.6,2281.16,10.45,32.48,39.61,25
3.0,0,1,1,8,31.68,2890.15,13.01,35.84,43.95,79
3.0,0,1,1,9,31.47,3056.52,13.17,37.03,42.46,227
3.0,0,1,1,10,29.25,3368.75,15.5,38.75,43.45,4
3.0,0,1,1,99,31.0,1955.0,20.0,28.5,45.35,2
4.0,0,1,1,1,34.25,1662.5,6.75,23.25,43.77,4
4.0,0,1,1,2,35.33,955.33,3.67,27.0,37.83,3
4.0,0,1,1,3,30.5,1331.0,10.5,29.0,48.4,2
4.0,0,1,1,4,29.6,1661.0,11.8,31.0,35.58,5
4.0,0,1,1,5,30.43,2245.0,15.43,33.0,42.56,7
4.0,0,1,1,6,32.75,2258.0,9.5,32.12,38.98,8
4.0,0,1,1,7,31.73,2709.65,10.56,34.42,43.15,26
4.0,0,1,1,8,32.57,2752.99,12.23,35.44,41.59,68
4.0,0,1,1,9,33.02,3059.43,14.26,37.0,43.2,223
4.0,0,1,1,10,28.6,3297.6,14.8,37.2,40.98,5
4.0,0,1,1,99,27.0,2890.0,14.0,38.0,33.0,1
5.0,0,1,1,5,32.33,2188.0,20.33,34.67,38.43,3
5.0,0,1,1,6,38.0,1941.0,19.0,32.5,37.55,2
5.0,0,1,1,7,35.78,3235.44,10.11,36.75,42.69,9
5.0,0,1,1,8,34.14,2790.14,11.79,35.45,39.82,29
5.0,0,1,1,9,34.23,2972.16,13.85,37.05,42.86,93
5.0,0,1,1,10,35.0,2552.0,12.0,37.0,34.0,1
