Month_code,Birthplace_code,Delivery_method_code,Fetal_presentation_code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,1,1,1,0,27.78,1948.11,8.06,30.03,27.83,172
1,1,1,1,1,27.87,1354.81,6.65,26.65,28.9,880
1,1,1,1,2,27.63,2263.18,8.61,32.5,27.41,602
1,1,1,1,3,27.53,2775.35,10.08,35.71,27.6,647
1,1,1,1,4,27.41,2875.56,10.15,36.63,26.93,905
1,1,1,1,5,27.64,2981.93,10.46,37.04,26.97,1731
1,1,1,1,6,27.52,3023.09,10.7,37.27,26.87,3248
1,1,1,1,7,27.48,3121.27,10.78,37.72,26.83,8749
1,1,1,1,8,27.65,3239.17,10.94,38.36,26.48,54638
1,1,1,1,9,28.13,3297.63,11.15,38.78,26.12,517027
1,1,1,1,10,27.59,3306.6,11.15,38.81,26.02,11454
1,1,1,1,99,28.06,2939.18,9.49,36.79,26.4,1067
1,1,1,2,0,29.68,633.47,4.18,22.14,27.14,37
1,1,1,2,1,27.99,552.79,4.81,22.09,28.85,285
1,1,1,2,2,26.83,631.13,4.62,22.34,27.68,90
1,1,1,2,3,28.29,1102.65,5.47,26.77,29.19,41
1,1,1,2,4,30.39,946.17,5.34,25.77,27.61,31
1,1,1,2,5,30.34,1499.2,7.14,29.63,28.03,41
1,1,1,2,6,29.85,1959.06,8.68,31.85,28.1,52
1,1,1,2,7,29.09,2045.56,8.73,33.0,27.31,116
1,1,1,2,8,29.86,2519.31,10.28,35.63,26.4,302
1,1,1,2,9,29.18,2939.97,10.58,37.53,26.22,1183
1,1,1,3,0,30.75,1421.33,7.33,26.0,37.75,4
1,1,1,3,1,25.55,909.15,6.72,23.2,27.17,31
1,1,1,3,2,24.6,1181.22,4.12,24.8,31.02,10
1,1,1,3,3,26.25,2573.38,8.88,35.5,25.21,8
1,1,1,3,4,29.38,2393.75,11.12,33.38,26.36,8
1,1,1,3,5,25.9,2701.65,10.0,35.5,29.56,20
1,1,1,3,6,27.5,2380.76,8.6,34.33,25.46,42
1,1,1,3,7,26.04,2994.47,9.24,37.18,26.65,80
1,1,1,3,8,27.09,3200.54,10.95,38.29,26.73,432
1,1,1,3,9,27.66,3281.85,11.06,38.75,26.28,2989
1,1,1,3,99,26.15,1982.69,6.58,32.09,27.2,13
1,1,1,9,0,24.33,1479.0,6.0,27.33,24.2,3
1,1,1,9,1,29.55,486.29,8.44,20.18,29.82,11
1,1,1,9,2,29.57,783.8,8.71,21.71,30.55,7
