Anesthesia_code,Anesthesia,Antibiotics_for_Mother_code,Antibiotics_for_Mother,Induction_of_Labor_Code,Induction_of_Labor,Steroids_Code,Steroids,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,Yes,1,Yes,1,Yes,1,Yes,0,0,25,2853,52,36.6,11.5,35.4,29.75,5
1,Yes,1,Yes,1,Yes,1,Yes,1,1,28.55,1586.2,66.89,30.43,7.87,30.12,29.7,42
1,Yes,1,Yes,1,Yes,1,Yes,2,2,27.62,1966.56,54.45,32,8.32,31.92,31.74,39
1,Yes,1,Yes,1,Yes,1,Yes,3,3,29.11,1688.26,72.76,32,9.19,31.48,31.07,46
1,Yes,1,Yes,1,Yes,1,Yes,4,4,27.57,2007.15,59.39,33.05,9.46,32.85,30.56,110
1,Yes,1,Yes,1,Yes,1,Yes,5,5,29.07,2028.93,64.57,33.38,9.74,33.01,31.02,168
1,Yes,1,Yes,1,Yes,1,Yes,6,6,28.57,2088.44,63.67,33.63,9.46,33.31,29.08,324
1,Yes,1,Yes,1,Yes,1,Yes,7,7,28.84,2149.06,60.55,33.96,10.06,33.67,30.16,748
1,Yes,1,Yes,1,Yes,1,Yes,8,8,28.55,2283.77,61.21,34.66,10.19,34.29,29.37,2559
1,Yes,1,Yes,1,Yes,1,Yes,9,9,28.73,2516.47,59.53,35.8,10.66,35.47,28.81,9179
1,Yes,1,Yes,1,Yes,1,Yes,10,10,27.66,2682.29,43.55,36.31,10.98,36.12,28.53,104
1,Yes,1,Yes,1,Yes,1,Yes,99,Unknown or Not Stated,28.21,2660.71,33.4,34.63,11.56,34.95,28.09,19
2,No,1,Yes,1,Yes,1,Yes,0,0,30,2206.67,27,30.33,8.33,30.33,25.1,3
2,No,1,Yes,1,Yes,1,Yes,1,1,30.05,1125.28,40.83,27.26,4.41,26.63,28.89,19
2,No,1,Yes,1,Yes,1,Yes,2,2,28.64,1694.27,63.4,31.36,7.1,31.27,26.42,11
2,No,1,Yes,1,Yes,1,Yes,3,3,27.47,1998.07,44.5,33.73,10.5,33.47,30.21,15
2,No,1,Yes,1,Yes,1,Yes,4,4,28.73,2005,61,32.09,8.18,32.45,27.96,11
2,No,1,Yes,1,Yes,1,Yes,5,5,27.75,1971.18,62.86,32.98,8.18,32.08,32.11,40
2,No,1,Yes,1,Yes,1,Yes,6,6,28.05,1887.4,50.48,33.06,9.35,32.37,29.03,63
2,No,1,Yes,1,Yes,1,Yes,7,7,28.34,2135.67,61.75,33.79,9.18,33.41,30.1,128
2,No,1,Yes,1,Yes,1,Yes,8,8,29.22,2270.24,59.39,34.66,9.43,34.28,29.25,402
2,No,1,Yes,1,Yes,1,Yes,9,9,28.92,2456.21,57.21,35.5,9.86,35.27,28.11,1469
2,No,1,Yes,1,Yes,1,Yes,10,10,30.32,2654.27,51.89,35.91,11.2,36.05,29.16,22
2,No,1,Yes,1,Yes,1,Yes,99,Unknown or Not Stated,30.25,2057.75,31,33.25,5.75,33.25,24.9,4
1,Yes,2,No,1,Yes,1,Yes,0,0,28.5,2183.75,,33,9,33.25,28.5,4
1,Yes,2,No,1,Yes,1,Yes,1,1,29.93,1754.04,62.56,31.79,10.77,31.11,32.26,28
1,Yes,2,No,1,Yes,1,Yes,2,2,29.17,1976.87,72.29,33.61,10.43,32.83,31.39,23
1,Yes,2,No,1,Yes,1,Yes,3,3,28.22,2212.48,64.36,34.07,10.66,34.04,31.7,46
1,Yes,2,No,1,Yes,1,Yes,4,4,30.46,2165.79,78.09,34,10.24,33.92,30.39,48
1,Yes,2,No,1,Yes,1,Yes,5,5,28.12,2342.14,61.17,34.78,10.12,34.38,30.05,118
1,Yes,2,No,1,Yes,1,Yes,6,6,28.87,2196.34,67.67,34.26,10,33.8,30.25,221
1,Yes,2,No,1,Yes,1,Yes,7,7,28.66,2257.65,60.99,34.7,10.22,34.35,29.33,558
1,Yes,2,No,1,Yes,1,Yes,8,8,28.49,2467.18,59.19,35.48,10.87,35.14,29.16,1948
1,Yes,2,No,1,Yes,1,Yes,9,9,28.72,2720.81,54.34,36.7,11.51,36.43,28.03,9273
1,Yes,2,No,1,Yes,1,Yes,10,10,28.55,2823.29,52.91,36.98,11.67,36.85,27.1,131
1,Yes,2,No,1,Yes,1,Yes,99,Unknown or Not Stated,30.15,2168.47,54.5,32.95,10.05,32.9,30.36,20
2,No,2,No,1,Yes,1,Yes,0,0,30,2317.5,67.5,38,10.5,33.5,25.4,2
2,No,2,No,1,Yes,1,Yes,1,1,24.62,1356.12,61.33,30,11.71,29.38,31.36,8
2,No,2,No,1,Yes,1,Yes,2,2,24.57,1291.57,49.4,26.43,5.57,28.71,24.65,7
2,No,2,No,1,Yes,1,Yes,3,3,27.8,2285.6,65,33.8,7.4,33.8,25.02,5
2,No,2,No,1,Yes,1,Yes,4,4,27.6,2189.8,59.5,33.7,8.2,33.6,27.28,10
