Month_code,Month,Birthplace_code,Birthplace,Delivery_method_code,Delivery_method,Fetal_presentation_code,Fetal_presentation,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,0,0,28.69,1588.16,49.07,27.37,6.28,27.35,27.41,58
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,1,1,28.26,1411.8,58.15,26.92,6.56,26.6,29.61,273
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,2,2,27.96,2166.69,61.8,32.16,8.29,32,28.63,180
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,3,3,27.65,2737.6,48.77,36.05,9.89,35.6,27.85,245
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,4,4,27.94,2935.8,55.03,36.86,9.98,36.72,27.6,278
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,5,5,27.86,2946.51,56.3,37.24,10.39,36.95,26.95,567
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,6,6,27.89,3023.55,55.8,37.6,10.72,37.38,26.75,1135
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,7,7,27.58,3140.22,53.15,38.03,10.73,37.79,27.03,2813
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,8,8,27.8,3233.72,49.37,38.51,10.97,38.31,26.73,17406
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,9,9,28.28,3297.42,48.95,38.91,11.18,38.77,26.3,172885
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,99,Unknown or Not Stated,28.32,2965.52,43.6,36.79,9.13,36.69,26.6,331
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,0,0,31.1,434.6,104.25,21.3,5.12,21,26.56,10
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,1,1,28.68,649.98,71.21,23.86,4.7,22.82,29.55,93
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,2,2,27,592.04,39.5,22.8,4.72,22.17,28.73,30
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,3,3,27.73,788.5,38,25.27,4.7,25.36,28.78,11
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,4,4,32.83,981.67,139.5,25.67,8.4,26.5,22.9,6
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,5,5,32.54,1678.31,92,31.23,6.54,30.69,31.85,13
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,6,6,29.95,1839.21,50.45,31.74,7.71,31.58,26.94,19
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,7,7,29.85,1983.24,41.33,32.47,9.15,32.53,26.98,34
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,8,8,30.56,2523.72,54.95,35.62,9.65,35.5,27.1,105
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,9,9,29.26,2926.36,47.47,37.6,11.04,37.49,26.36,397
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,10,10,30,2774.4,68.17,36.7,12.11,37.2,25.42,10
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,0,0,37,,55,19,,19,26.3,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,1,1,25.82,1200.09,63.2,26.82,5.82,26,26.46,11
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,2,2,27,3490,Not Applicable,36,9,36,28.3,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,3,3,19,3890,Not Applicable,40,12,40,21.6,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,4,4,34,3670,37,39,15.67,39,27.07,3
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,5,5,28,3087.75,73,39,12.5,38,25.55,4
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,6,6,31,1962.88,56.5,33.12,9.14,32.12,26.3,8
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,7,7,26.88,2923.59,51.33,36.06,9.71,36.18,29.45,17
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,8,8,27.67,3268.21,43.7,38.94,10.92,38.6,27.72,115
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,9,9,28.34,3304.76,49.78,39.01,11.28,38.87,25.66,704
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,0,0,19,3515,15,32,12,38,19.2,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,1,1,30.4,441,44,21.2,12,19.8,34.06,5
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,2,2,36,,Not Applicable,22,14,18,49.2,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,3,3,29,,42,22,6,19,29.3,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,4,4,24,1620,Not Applicable,33,,33,18.5,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,5,5,14,3204,Not Applicable,38,8,40,26.6,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,6,6,26,3114,10,38.5,10.33,38.25,24.53,4
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,8,8,29.08,3328.28,47.45,39.08,11.06,38.8,26.65,25
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,9,9,27.38,3303.23,51.28,38.99,11.02,38.93,26.12,210
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,10,10,23.75,3420,33,39.5,4.67,38.75,35.57,4
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,0,0,28.25,484.67,73.67,20.25,1,20.25,25.23,4
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,1,1,32,1111.47,63.06,25.44,5.62,24.89,31.04,18
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,2,2,30.12,2261.4,49.73,30.47,7.82,29.88,27.55,17
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,3,3,32.5,1686.83,87,31,9.83,30.67,33.66,6
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,4,4,28.62,2753.62,54.71,36.88,8.29,37.5,26.35,8
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,5,5,29.81,2836.52,70.63,34.86,7.84,34.76,28.9,21
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,6,6,30.86,2844.24,63.46,36.86,10.08,36.65,30.47,37
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,7,7,30.58,2933.84,55.04,36.47,8.88,36.58,27.83,95
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,8,8,30.19,3198.41,45.08,37.92,10.16,37.81,27.51,541
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,9,9,30.64,3309.23,45.98,38.75,10.73,38.63,26.99,5229
1,January,1,In Hospital,2,Vaginal after previous c-section,1,Cephalic,99,Unknown or Not Stated,33.21,2869.77,62.14,34.69,10.07,34.54,30.44,14
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,0,0,27,233,60,20,3,20,26.7,1
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,1,1,28.88,498.12,40,20.62,8,21.38,28.01,8
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,2,2,32,418.5,102.5,21.33,4.33,20,31.8,3
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,3,3,35,709,53,23,4,23,20.8,1
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,6,6,39.5,1935.5,152,34.5,8,34.5,26.9,2
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,8,8,36,3358.2,64.5,38.2,11.6,38,31.65,5
1,January,1,In Hospital,2,Vaginal after previous c-section,2,Breech,9,9,31.59,3143.68,49.63,37.64,9.55,37.82,26.75,22
1,January,1,In Hospital,2,Vaginal after previous c-section,3,Other,1,1,29,374.5,32,21,3.5,20,26.8,2
1,January,1,In Hospital,2,Vaginal after previous c-section,3,Other,2,2,35,703,168,25,8,25,34.6,1
1,January,1,In Hospital,2,Vaginal after previous c-section,3,Other,6,6,39,3880,169,40,12,40,38.2,1
1,January,1,In Hospital,2,Vaginal after previous c-section,3,Other,7,7,22,3305,51,45,7,40,29.6,1
1,January,1,In Hospital,2,Vaginal after previous c-section,3,Other,8,8,33.5,3654.5,29.5,39.5,12,39.5,27.2,2
1,January,1,In Hospital,2,Vaginal after previous c-section,3,Other,9,9,29.8,3357.87,52.79,38.87,9.8,39.23,27.6,30
1,January,1,In Hospital,2,Vaginal after previous c-section,9,Unknown or Not Stated,1,1,35,,215,18,7,18,19.4,1
1,January,1,In Hospital,2,Vaginal after previous c-section,9,Unknown or Not Stated,9,9,33.38,3780.75,41.75,39.25,12.62,39.5,27.69,8
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,0,0,29.37,2415.26,64.86,33.8,7.62,33.83,27.6,54
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,1,1,26.85,2488.21,52.35,35.1,9.87,34.63,29.08,134
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,2,2,28.4,2566.79,65.81,35.47,10.25,35.28,29.81,151
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,3,3,28.16,2388.83,55.57,35.17,10.32,34.56,28.75,168
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,4,4,28.05,2559.38,60.49,35.55,10.38,35.25,28.51,227
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,5,5,28.23,2642.81,59.65,35.68,10.61,35.38,29.86,408
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,6,6,28.5,2658.82,66.1,35.93,10.75,35.68,29.36,719
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,7,7,28.94,2746.39,64.26,36.33,10.75,36.13,29.06,1486
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,8,8,28.87,3006.35,59.7,37.51,11.31,37.3,29.12,6156
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,9,9,29.28,3278.06,61.2,38.64,11.78,38.5,28.45,37150
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,10,10,28.62,3346.42,62.9,38.93,12.31,38.77,28.83,713
1,January,1,In Hospital,3,Primary C-section,1,Cephalic,99,Unknown or Not Stated,29.28,2628.08,65.71,35.7,10.84,35.54,27.82,87
1,January,1,In Hospital,3,Primary C-section,2,Breech,0,0,34.09,1483.27,101,30.27,6.67,29.45,30.16,11
1,January,1,In Hospital,3,Primary C-section,2,Breech,1,1,28.96,1433.6,58.08,29.25,8.4,29.16,30.81,57
1,January,1,In Hospital,3,Primary C-section,2,Breech,2,2,27.9,1344.19,58.41,29.62,9.11,29.17,28.9,48
1,January,1,In Hospital,3,Primary C-section,2,Breech,3,3,29.45,1712.39,27.07,30.98,8.59,30.64,31.31,44
1,January,1,In Hospital,3,Primary C-section,2,Breech,4,4,28.92,1618.21,52.77,29.74,7.72,30.2,28.17,66
1,January,1,In Hospital,3,Primary C-section,2,Breech,5,5,29.9,1789.71,62.62,31.51,8.68,31.41,30.01,110
1,January,1,In Hospital,3,Primary C-section,2,Breech,6,6,29.87,1707.09,57.61,31.25,8.69,30.85,28.71,195
1,January,1,In Hospital,3,Primary C-section,2,Breech,7,7,29.83,2023.73,57.09,33.08,9.34,32.71,28.47,402
1,January,1,In Hospital,3,Primary C-section,2,Breech,8,8,29.72,2517.38,56.17,35.27,10.67,35.03,28.2,1396
1,January,1,In Hospital,3,Primary C-section,2,Breech,9,9,29.98,2992.53,57.54,37.67,11.44,37.48,26.96,6973
1,January,1,In Hospital,3,Primary C-section,2,Breech,10,10,28.83,3114.85,60.75,38.01,11.38,37.9,27.95,124
1,January,1,In Hospital,3,Primary C-section,2,Breech,99,Unknown or Not Stated,29.04,2119.64,55.75,34.08,9.05,33.83,29.76,24
