Month_code,Month,Birthplace_code,Birthplace,Delivery_method_code,Delivery_method,Fetal_presentation_code,Fetal_presentation,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,0,0,28.69,1588.16,27.37,6.28,27.35,27.41,58
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,1,1,28.26,1411.8,26.92,6.56,26.6,29.61,273
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,2,2,27.96,2166.69,32.16,8.29,32,28.63,180
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,3,3,27.65,2737.6,36.05,9.89,35.6,27.85,245
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,4,4,27.94,2935.8,36.86,9.98,36.72,27.6,278
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,5,5,27.86,2946.51,37.24,10.39,36.95,26.95,567
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,6,6,27.89,3023.55,37.6,10.72,37.38,26.75,1135
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,7,7,27.58,3140.22,38.03,10.73,37.79,27.03,2813
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,8,8,27.8,3233.72,38.51,10.97,38.31,26.73,17406
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,9,9,28.28,3297.42,38.91,11.18,38.77,26.3,172885
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,99,Unknown or Not Stated,28.32,2965.52,36.79,9.13,36.69,26.6,331
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,0,0,31.1,434.6,21.3,5.12,21,26.56,10
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,1,1,28.68,649.98,23.86,4.7,22.82,29.55,93
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,2,2,27,592.04,22.8,4.72,22.17,28.73,30
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,3,3,27.73,788.5,25.27,4.7,25.36,28.78,11
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,4,4,32.83,981.67,25.67,8.4,26.5,22.9,6
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,5,5,32.54,1678.31,31.23,6.54,30.69,31.85,13
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,6,6,29.95,1839.21,31.74,7.71,31.58,26.94,19
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,7,7,29.85,1983.24,32.47,9.15,32.53,26.98,34
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,8,8,30.56,2523.72,35.62,9.65,35.5,27.1,105
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,9,9,29.26,2926.36,37.6,11.04,37.49,26.36,397
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),2,Breech,10,10,30,2774.4,36.7,12.11,37.2,25.42,10
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,0,0,37,,19,,19,26.3,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,1,1,25.82,1200.09,26.82,5.82,26,26.46,11
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,2,2,27,3490,36,9,36,28.3,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,3,3,19,3890,40,12,40,21.6,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,4,4,34,3670,39,15.67,39,27.07,3
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,5,5,28,3087.75,39,12.5,38,25.55,4
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,6,6,31,1962.88,33.12,9.14,32.12,26.3,8
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,7,7,26.88,2923.59,36.06,9.71,36.18,29.45,17
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,8,8,27.67,3268.21,38.94,10.92,38.6,27.72,115
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),3,Other,9,9,28.34,3304.76,39.01,11.28,38.87,25.66,704
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,0,0,19,3515,32,12,38,19.2,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,1,1,30.4,441,21.2,12,19.8,34.06,5
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,2,2,36,,22,14,18,49.2,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,3,3,29,,22,6,19,29.3,1
1,January,1,In Hospital,1,Vaginal (excludes vaginal after previous C-section),9,Unknown or Not Stated,4,4,24,1620,33,,33,18.5,1
