Mother_Education_Code,Mother_Weight_Gain_Code,Pre-pregnancy_Diabetes_Code,Pre-pregnancy_Hypertension_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,0,1,1,8,35.67,2524,36,11.67,35.67,36.87,3
1,0,1,1,9,36.75,2986.25,37.12,16.88,37.5,37.15,8
2,0,1,1,1,37,454,30,11,24,33.1,1
2,0,1,1,2,41,404,21,6,21,33.4,1
2,0,1,1,5,36,2490,36,0,36,54.8,1
2,0,1,1,6,30.33,1065,29,7,28.33,34.93,3
2,0,1,1,7,33.5,1882.5,32,10.5,31,37.8,2
2,0,1,1,8,32.12,2938.94,36.94,13.69,36,40.08,16
2,0,1,1,9,31.14,3033.6,36.8,11.85,36.66,44.94,35
3,0,1,1,1,23,0,18,6,18,33.6,1
3,0,1,1,2,26,510,21,3,21,41.5,1
3,0,1,1,3,26,2834.5,34.5,6.5,34,44.4,2
3,0,1,1,5,32.75,3183.75,37,16.75,36.25,45.65,4
3,0,1,1,6,32.5,2582,37.5,13.5,33.5,35.75,2
3,0,1,1,7,33.43,2392.93,33.86,9.92,33.14,38.68,14
3,0,1,1,8,31.38,2864.08,35.96,14.04,35.17,44.69,24
3,0,1,1,9,31.09,2959.83,36.99,11.83,36.87,41.48,78
3,0,1,1,10,30,3997,41,8,40,43.3,1
3,0,1,1,99,25,3630,37,20,38,48.6,1
4,0,1,1,1,31,0,18.5,4,18,46.95,2
4,0,1,1,2,28,410,22,0,21,36.8,1
4,0,1,1,3,30,2010,34,12,34,46.3,1
4,0,1,1,4,31,1648.33,30.67,7.33,31,37.2,3
4,0,1,1,5,30.5,2211.25,34,20,33.25,44.25,4
4,0,1,1,6,30,1799.33,31,8,30.33,34.5,3
4,0,1,1,7,31,2499,32.4,9.8,32.8,44.52,5
4,0,1,1,8,32.64,2901.29,36.43,12.56,36.29,41.1,28
4,0,1,1,9,33.05,3021.07,37.86,14.76,37.17,43.37,81
4,0,1,1,10,26,3260,46,18,37,53.3,1
4,0,1,1,99,27,2890,38,14,38,33,1
5,0,1,1,5,32.33,2188,34.67,20.33,34.67,38.43,3
5,0,1,1,6,38,1941,33,19,32.5,37.55,2
