Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,1,1,1,0,25,2853,36.6,11.5,35.4,29.75,5
1,1,1,1,1,28.55,1586.2,30.43,7.87,30.12,29.7,42
1,1,1,1,2,27.62,1966.56,32,8.32,31.92,31.74,39
1,1,1,1,3,29.11,1688.26,32,9.19,31.48,31.07,46
1,1,1,1,4,27.57,2007.15,33.05,9.46,32.85,30.56,110
1,1,1,1,5,29.07,2028.93,33.38,9.74,33.01,31.02,168
1,1,1,1,6,28.57,2088.44,33.63,9.46,33.31,29.08,324
1,1,1,1,7,28.84,2149.06,33.96,10.06,33.67,30.16,748
1,1,1,1,8,28.55,2283.77,34.66,10.19,34.29,29.37,2559
1,1,1,1,9,28.73,2516.47,35.8,10.66,35.47,28.81,9179
1,1,1,1,10,27.66,2682.29,36.31,10.98,36.12,28.53,104
1,1,1,1,99,28.21,2660.71,34.63,11.56,34.95,28.09,19
2,1,1,1,0,30,2206.67,30.33,8.33,30.33,25.1,3
2,1,1,1,1,30.05,1125.28,27.26,4.41,26.63,28.89,19
2,1,1,1,2,28.64,1694.27,31.36,7.1,31.27,26.42,11
2,1,1,1,3,27.47,1998.07,33.73,10.5,33.47,30.21,15
2,1,1,1,4,28.73,2005,32.09,8.18,32.45,27.96,11
2,1,1,1,5,27.75,1971.18,32.98,8.18,32.08,32.11,40
2,1,1,1,6,28.05,1887.4,33.06,9.35,32.37,29.03,63
2,1,1,1,7,28.34,2135.67,33.79,9.18,33.41,30.1,128
2,1,1,1,8,29.22,2270.24,34.66,9.43,34.28,29.25,402
2,1,1,1,9,28.92,2456.21,35.5,9.86,35.27,28.11,1469
2,1,1,1,10,30.32,2654.27,35.91,11.2,36.05,29.16,22
2,1,1,1,99,30.25,2057.75,33.25,5.75,33.25,24.9,4
