Average Age of Mother (years),Average Birth Weight (grams),Average Interval Since Last Live Birth (months),Average LMP Gestational Age (weeks),Average Number of Prenatal Visits,Average OE Gestational Age (weeks),Average Pre-pregnancy BMI,Births,Five Minute APGAR Score Code,Five Minute APGAR Score,Notes,Number of Records,Standard Deviation for Average Age of Mother,Standard Deviation for Average Birth Weight,Standard Deviation for Average Interval Since Last Live Birth,Standard Deviation for Average LMP Gestational Age,Standard Deviation for Average Number of Prenatal Visits,Standard Deviation for Average OE Gestational Age,Standard Deviation for Average Pre-pregnancy BMI,State of Residence Code,State of Residence
27.95,2082.87,64.67,29.89,6.72,29.89,29.62,19,0,0,,1,4.77,1381.25,37.77,8.72,3.93,8.92,7.92,1,Alabama
26.13,1333.93,47.89,27.75,5.41,27.52,28.45,128,1,1,,1,5.49,1137.8,38.79,7.29,3.9,7.28,7.54,1,Alabama
27.22,2110.97,61.06,32,8.37,31.81,30.26,122,2,2,,1,6.46,1276.16,48.26,7.69,4.77,7.43,8.41,1,Alabama
27.07,2382.53,59.39,34.39,8.72,34.08,30.16,118,3,3,,1,5.55,1115.05,45.95,5.76,4.76,5.7,8.32,1,Alabama
27.91,2419.83,51.09,34.54,8.38,34.35,29.57,161,4,4,,1,5.74,1097.18,42.62,5.85,4.61,5.5,8.49,1,Alabama
26.69,2617.78,55.36,35.72,9.04,35.56,29.62,262,5,5,,1,5.59,1044.53,44.74,5.43,4.6,5.14,8.13,1,Alabama
27.39,2660.81,52.52,35.76,9.66,35.65,29.02,479,6,6,,1,5.76,1023.06,40.63,5.08,4.51,4.65,7.75,1,Alabama
27.46,2774.51,56.16,36.21,9.93,36.05,29.48,1340,7,7,,1,5.97,949.49,41.5,4.55,4.33,4.18,7.87,1,Alabama
27.42,3073.65,52.96,37.73,10.38,37.58,28.82,7908,8,8,,1,5.75,719.43,39.8,3.12,3.79,2.75,7.83,1,Alabama
27.44,3235.61,49.85,38.49,10.62,38.42,27.98,45145,9,9,,1,5.56,537.27,36.79,2.25,3.65,1.62,7.32,1,Alabama
26.94,3248.17,49.34,38.62,10.71,38.52,27.93,1894,10,10,,1,5.5,468.44,36.11,2.01,3.95,1.28,7.3,1,Alabama
28.44,3044.02,39.6,37.34,7.49,37.35,26.63,185,99,Unknown or Not Stated,,1,5.71,901.95,32.98,4.45,5.09,4.2,6.42,1,Alabama
27.78,2233.8,61.5,30.78,7.45,30.91,28.62,23,1,1,,1,5.15,1318.52,59.93,8.24,4.63,8.08,8.92,2,Alaska
28,2799,49.3,34.71,9.21,34.61,29.26,28,2,2,,1,5.76,1196.47,41.66,7.47,4.08,7.44,7.19,2,Alaska
29.52,3215.52,47.46,37.39,9.38,37.35,30.38,23,3,3,,1,5.28,948.47,33.43,3.88,4.28,3.63,6.83,2,Alaska
27.41,3116.88,41.12,37.44,10.32,37,27.59,32,4,4,,1,5.42,926.81,36.69,4.87,3.7,4.25,6.95,2,Alaska
28.39,3179.51,43.09,37.86,10.14,37.84,28.54,77,5,5,,1,6.49,768.24,23.38,3.91,4.53,3.24,7.16,2,Alaska
28.13,3126.45,47.06,37.3,10.09,37.14,27.31,147,6,6,,1,5.62,929.29,32.1,4.27,5,4.19,6.69,2,Alaska
28.33,3268.44,44.77,38.13,10.59,38.01,27.97,413,7,7,,1,5.91,745.99,33.73,3.23,4.39,2.9,7.26,2,Alaska
28.27,3392.46,47.13,38.62,10.82,38.43,27.47,1870,8,8,,1,5.63,630.67,33.98,2.53,4.44,2.15,6.61,2,Alaska
28.62,3421.53,45.74,38.87,10.82,38.72,27.33,7071,9,9,,1,5.56,537.43,33.72,2.06,4.33,1.64,6.72,2,Alaska
29.42,3524.99,36.73,39.47,11.58,39.35,25.34,345,10,10,,1,5.17,462.9,21.57,1.78,3.92,1.37,5.38,2,Alaska
28.87,3176.37,48.66,37.74,7.52,38.25,25.92,55,99,Unknown or Not Stated,,1,5.54,696.83,39.24,3.35,5.39,2.58,5.07,2,Alaska
28.2,1952.17,50.65,31.79,6,31.75,27.08,25,0,0,,1,5.31,1387.08,44.99,7.44,5.33,7.48,6.5,4,Arizona
28.14,1557.16,46.49,28.65,7.01,28.56,29.46,157,1,1,,1,6.34,1318.21,43.92,7.89,4.83,7.79,7.56,4,Arizona
28.06,2200.2,54.62,32.91,8.79,32.58,27.44,125,2,2,,1,5.82,1298.44,43.02,7.56,5.95,7.54,6.63,4,Arizona
28.63,2498.89,59.23,34.41,8.77,33.94,30.19,131,3,3,,1,5.85,1261.81,43.1,6.35,5.16,6.39,8.92,4,Arizona
28.54,2571.88,59.86,34.71,9.05,34.69,28.04,143,4,4,,1,5.73,1148.61,48.23,6.23,4.99,5.81,6.63,4,Arizona
28.06,2569.86,60.17,35.71,8.99,35.36,27.08,251,5,5,,1,6.32,1004.5,52.29,4.94,4.53,4.92,7.14,4,Arizona
28.23,2819.53,55.89,36.4,9.91,36.2,28.21,493,6,6,,1,6.14,1014.95,43.5,4.63,4.88,4.46,7.5,4,Arizona
28.54,2943.91,58.73,37.05,10.33,36.83,27.65,1291,7,7,,1,6.03,915.25,46.09,4.21,4.84,4,6.77,4,Arizona
28.35,3224.54,51.83,38.22,10.84,38.08,27.51,9419,8,8,,1,5.9,671.15,39.51,2.76,4.46,2.41,6.85,4,Arizona
28.36,3303.38,50.22,38.69,10.74,38.61,27.19,67440,9,9,,1,5.83,521.44,37.96,2.1,4.23,1.59,6.64,4,Arizona
28.95,3408.55,47.14,39.16,10.97,39.05,26.38,1115,10,10,,1,5.81,478.84,33.69,1.8,4.05,1.33,6.22,4,Arizona
