"Notes"	"State of Residence"	"State of Residence Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births	Average Age of Mother (years)	Standard Deviation for Average Age of Mother	Average OE Gestational Age (weeks)	Standard Deviation for Average OE Gestational Age	Average LMP Gestational Age (weeks)	Standard Deviation for Average LMP Gestational Age	Average Birth Weight (grams)	Standard Deviation for Average Birth Weight	Average Pre-pregnancy BMI	Standard Deviation for Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Standard Deviation for Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Standard Deviation for Average Interval Since Last Live Birth
	"Alabama"	"01"	"0"	"0"	19	27.95	4.77	29.89	8.92	29.89	8.72	2082.87	1381.25	29.62	7.92	6.72	3.93	64.67	37.77
	"Alabama"	"01"	"1"	"1"	128	26.13	5.49	27.52	7.28	27.75	7.29	1333.93	1137.80	28.45	7.54	5.41	3.90	47.89	38.79
	"Alabama"	"01"	"2"	"2"	122	27.22	6.46	31.81	7.43	32.00	7.69	2110.97	1276.16	30.26	8.41	8.37	4.77	61.06	48.26
	"Alabama"	"01"	"3"	"3"	118	27.07	5.55	34.08	5.70	34.39	5.76	2382.53	1115.05	30.16	8.32	8.72	4.76	59.39	45.95
	"Alabama"	"01"	"4"	"4"	161	27.91	5.74	34.35	5.50	34.54	5.85	2419.83	1097.18	29.57	8.49	8.38	4.61	51.09	42.62
	"Alabama"	"01"	"5"	"5"	262	26.69	5.59	35.56	5.14	35.72	5.43	2617.78	1044.53	29.62	8.13	9.04	4.60	55.36	44.74
	"Alabama"	"01"	"6"	"6"	479	27.39	5.76	35.65	4.65	35.76	5.08	2660.81	1023.06	29.02	7.75	9.66	4.51	52.52	40.63
	"Alabama"	"01"	"7"	"7"	1340	27.46	5.97	36.05	4.18	36.21	4.55	2774.51	949.49	29.48	7.87	9.93	4.33	56.16	41.50
	"Alabama"	"01"	"8"	"8"	7908	27.42	5.75	37.58	2.75	37.73	3.12	3073.65	719.43	28.82	7.83	10.38	3.79	52.96	39.80
	"Alabama"	"01"	"9"	"9"	45145	27.44	5.56	38.42	1.62	38.49	2.25	3235.61	537.27	27.98	7.32	10.62	3.65	49.85	36.79
	"Alabama"	"01"	"10"	"10"	1894	26.94	5.50	38.52	1.28	38.62	2.01	3248.17	468.44	27.93	7.30	10.71	3.95	49.34	36.11
	"Alabama"	"01"	"Unknown or Not Stated"	"99"	185	28.44	5.71	37.35	4.20	37.34	4.45	3044.02	901.95	26.63	6.42	7.49	5.09	39.60	32.98
	"Alaska"	"02"	"1"	"1"	23	27.78	5.15	30.91	8.08	30.78	8.24	2233.80	1318.52	28.62	8.92	7.45	4.63	61.50	59.93
	"Alaska"	"02"	"2"	"2"	28	28.00	5.76	34.61	7.44	34.71	7.47	2799.00	1196.47	29.26	7.19	9.21	4.08	49.30	41.66
	"Alaska"	"02"	"3"	"3"	23	29.52	5.28	37.35	3.63	37.39	3.88	3215.52	948.47	30.38	6.83	9.38	4.28	47.46	33.43
	"Alaska"	"02"	"4"	"4"	32	27.41	5.42	37.00	4.25	37.44	4.87	3116.88	926.81	27.59	6.95	10.32	3.70	41.12	36.69
	"Alaska"	"02"	"5"	"5"	77	28.39	6.49	37.84	3.24	37.86	3.91	3179.51	768.24	28.54	7.16	10.14	4.53	43.09	23.38
	"Alaska"	"02"	"6"	"6"	147	28.13	5.62	37.14	4.19	37.30	4.27	3126.45	929.29	27.31	6.69	10.09	5.00	47.06	32.10
	"Alaska"	"02"	"7"	"7"	413	28.33	5.91	38.01	2.90	38.13	3.23	3268.44	745.99	27.97	7.26	10.59	4.39	44.77	33.73
	"Alaska"	"02"	"8"	"8"	1870	28.27	5.63	38.43	2.15	38.62	2.53	3392.46	630.67	27.47	6.61	10.82	4.44	47.13	33.98
	"Alaska"	"02"	"9"	"9"	7071	28.62	5.56	38.72	1.64	38.87	2.06	3421.53	537.43	27.33	6.72	10.82	4.33	45.74	33.72
