Mother_Education,Mother_Weight_Gain,Pre-pregnancy_Diabetes,Pre-pregnancy_Hypertension,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI
8th grade or less,0 lbs,Yes,Yes,0,36,830,3,24,45.2
8th grade or less,0 lbs,Yes,Yes,1,39,791,0,23,32.4
8th grade or less,0 lbs,Yes,Yes,1,36,3560,20,37,38.6
8th grade or less,0 lbs,Yes,Yes,1,35.17,2890.83,9.33,36.67,37.95
8th grade or less,0 lbs,Yes,Yes,1,36.04,3041.73,15.58,38.08,39.78
9th through 12th grade with no diploma,0 lbs,Yes,Yes,0,37,454,11,24,33.1
9th through 12th grade with no diploma,0 lbs,Yes,Yes,0,41,404,6,21,33.4
9th through 12th grade with no diploma,0 lbs,Yes,Yes,0,37.5,2809,23.5,36,40.2
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32,1960.6,12.75,33.8,45.68
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32.33,1591.78,13,29.67,37.64
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,36,2846.38,8.25,34.25,44.15
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32.68,2871.24,12.11,35.92,41.99
9th through 12th grade with no diploma,0 lbs,Yes,Yes,1,32.37,2996.04,11.81,36.89,43.01
High school graduate or GED completed,0 lbs,Yes,Yes,0,39,539,20,25,26.7
High school graduate or GED completed,0 lbs,Yes,Yes,0,27.5,552.71,6,22.88,46.99
High school graduate or GED completed,0 lbs,Yes,Yes,0,31.25,871.75,8.25,24.75,43.1
High school graduate or GED completed,0 lbs,Yes,Yes,0,30.25,1727.25,5.25,28.75,39.45
High school graduate or GED completed,0 lbs,Yes,Yes,0,26,2860.5,7,36.5,50.85
High school graduate or GED completed,0 lbs,Yes,Yes,1,32.88,2746.38,12.62,33.86,41.86
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.77,2293.46,10.69,33.85,40.17
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.6,2281.16,10.45,32.48,39.61
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.68,2890.15,13.01,35.84,43.95
High school graduate or GED completed,0 lbs,Yes,Yes,1,31.47,3056.52,13.17,37.03,42.46
High school graduate or GED completed,0 lbs,Yes,Yes,1,29.25,3368.75,15.5,38.75,43.45
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,34.25,1662.5,6.75,23.25,43.77
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,35.33,955.33,3.67,27,37.83
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,30.5,1331,10.5,29,48.4
"Some college credit, but not a degree",0 lbs,Yes,Yes,0,29.6,1661,11.8,31,35.58
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,30.43,2245,15.43,33,42.56
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,32.75,2258,9.5,32.12,38.98
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,31.73,2709.65,10.56,34.42,43.15
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,32.57,2752.99,12.23,35.44,41.59
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,33.02,3059.43,14.26,37,43.2
"Some college credit, but not a degree",0 lbs,Yes,Yes,1,28.6,3297.6,14.8,37.2,40.98
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,32.33,2188,20.33,34.67,38.43
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,38,1941,19,32.5,37.55
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,35.78,3235.44,10.11,36.75,42.69
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,34.14,2790.14,11.79,35.45,39.82
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,34.23,2972.16,13.85,37.05,42.86
"Associate degree (AA, AS)",0 lbs,Yes,Yes,1,35,2552,12,37,34
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,0,37,610,5,22,52
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,29,1580,5,29,43.9
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,36,3228,10.5,32.5,38.85
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,33.12,2319.12,12.5,33.62,42.07
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,33.72,3003.52,13.44,35.92,42
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,34.1,2938.36,14.39,36.85,42.17
"Bachelor's degree (BA, AB, BS)",0 lbs,Yes,Yes,1,33.33,2648,11,36,39.33
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,0,40,1990,7,33,51.9
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,40,2922.4,18,36.8,43.4
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,33.86,2786.86,14.86,35.29,39.6
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,34.82,2992.76,15.06,37,42.22
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",0 lbs,Yes,Yes,1,35.5,3256.5,10,38.5,29.85
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0 lbs,Yes,Yes,0,38,350,3,25,41.7
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0 lbs,Yes,Yes,1,39,1900,10,35,33.9
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0 lbs,Yes,Yes,1,41,1635,26,31.5,44
8th grade or less,1 lbs,Yes,Yes,1,38,3246,23,39,37.8
8th grade or less,1 lbs,Yes,Yes,1,34.25,2904.75,14.5,36.25,35.67
9th through 12th grade with no diploma,1 lbs,Yes,Yes,0,32,590,0,27,23.2
9th through 12th grade with no diploma,1 lbs,Yes,Yes,1,42,1490,14,29,31
9th through 12th grade with no diploma,1 lbs,Yes,Yes,1,35,2885.14,13.33,34.86,39.87
9th through 12th grade with no diploma,1 lbs,Yes,Yes,1,32.86,3308.43,13.69,37.14,39.74
High school graduate or GED completed,1 lbs,Yes,Yes,0,31,1140,6,27,44.5
High school graduate or GED completed,1 lbs,Yes,Yes,0,29,2900,10,38,34.2
High school graduate or GED completed,1 lbs,Yes,Yes,1,29,2885,5,36,62.3
High school graduate or GED completed,1 lbs,Yes,Yes,1,24,3712,16,39,41.6
High school graduate or GED completed,1 lbs,Yes,Yes,1,33.43,2740.43,14.29,35.71,39.86
High school graduate or GED completed,1 lbs,Yes,Yes,1,31.5,3333.79,14.25,37.46,40.98
"Some college credit, but not a degree",1 lbs,Yes,Yes,0,41,440,8,23,42.4
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,26,2220,14,36,30.1
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,30,1615,8,29.5,50.7
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,31,2890,15,39,34.1
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,33.75,2747.5,12,33,40.4
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,32.22,3210.67,11.56,36.56,43.64
"Some college credit, but not a degree",1 lbs,Yes,Yes,1,39,4977,18,37,43.7
"Associate degree (AA, AS)",1 lbs,Yes,Yes,0,36,4293,10,35,39.3
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,29,4277,19,38,48.3
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,30,4265,13,37,36.3
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,32,1532.5,16,33,38.6
"Associate degree (AA, AS)",1 lbs,Yes,Yes,1,33.25,3110.38,14.62,37.25,42.62
"Bachelor's degree (BA, AB, BS)",1 lbs,Yes,Yes,1,24,2410,20,36,37.2
"Bachelor's degree (BA, AB, BS)",1 lbs,Yes,Yes,1,34.5,3051.64,14.86,37,39.48
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,32,2655,20,37,47.3
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,37,2670,8,36,50.8
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,40,3220,16,36.4,41.04
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1 lbs,Yes,Yes,1,29,2268,14,37,41.7
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1 lbs,Yes,Yes,1,34,2890,12,37,42.6
8th grade or less,2 lbs,Yes,Yes,1,39,3370,12,37,28.8
8th grade or less,2 lbs,Yes,Yes,1,33,2859.5,24,38,32.6
9th through 12th grade with no diploma,2 lbs,Yes,Yes,0,35,1559,6,34,38.4
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,23,2252.5,11,33,38.9
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,39,2015,5,32,38.3
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,35.25,3312.5,12.25,37,45.4
9th through 12th grade with no diploma,2 lbs,Yes,Yes,1,32.73,3136,13,37.47,38
High school graduate or GED completed,2 lbs,Yes,Yes,0,34.5,440.5,6.5,22.5,38.9
High school graduate or GED completed,2 lbs,Yes,Yes,0,36.67,2419.33,11.33,35.33,38.33
High school graduate or GED completed,2 lbs,Yes,Yes,0,33,3405,8,36,50.1
High school graduate or GED completed,2 lbs,Yes,Yes,1,22,630,10,25,51.3
High school graduate or GED completed,2 lbs,Yes,Yes,1,31.5,3056.5,11.5,34,56.5
High school graduate or GED completed,2 lbs,Yes,Yes,1,30.07,2442.64,13.5,35.64,36.42
High school graduate or GED completed,2 lbs,Yes,Yes,1,32.22,3265.44,15.19,37.25,39.81
"Some college credit, but not a degree",2 lbs,Yes,Yes,0,32,750,10,26,46.3
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,28,1449,10,30,49.9
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,28,1511,10,30,49.9
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,32.38,2411.62,13.62,34.25,38.01
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,30,2694.33,12.67,35.22,38.62
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,33.58,3383.42,16.12,36.83,43.21
"Some college credit, but not a degree",2 lbs,Yes,Yes,1,20,2620,8,39,49.9
"Associate degree (AA, AS)",2 lbs,Yes,Yes,1,32.33,2562.67,19,36.33,41.27
"Associate degree (AA, AS)",2 lbs,Yes,Yes,1,34.12,2948.88,15.38,36.12,37.81
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,32,2980,20,37,57.3
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,35.5,4205,10,37.5,46
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,34.86,2240.71,12.29,33.71,34.4
"Bachelor's degree (BA, AB, BS)",2 lbs,Yes,Yes,1,34.52,3109.81,12.8,37.1,38.32
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2 lbs,Yes,Yes,1,32,4210,26,39,37.3
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2 lbs,Yes,Yes,1,39.33,3691.67,14,38,40.07
8th grade or less,3 lbs,Yes,Yes,0,33,450,3,21,29.3
8th grade or less,3 lbs,Yes,Yes,1,36.5,3242.5,15.5,37.5,29.15
8th grade or less,3 lbs,Yes,Yes,1,36.67,3177.67,14.67,37.33,40.13
9th through 12th grade with no diploma,3 lbs,Yes,Yes,0,21,2280,10,33,41.6
9th through 12th grade with no diploma,3 lbs,Yes,Yes,1,36,1020,7,25,45.7
9th through 12th grade with no diploma,3 lbs,Yes,Yes,1,32.67,2930.67,13.33,36.67,44.67
9th through 12th grade with no diploma,3 lbs,Yes,Yes,1,33.2,3146.05,10.25,37.45,41.46
High school graduate or GED completed,3 lbs,Yes,Yes,0,34.5,1343,9,29,40.85
High school graduate or GED completed,3 lbs,Yes,Yes,0,38,2342,18,36,38.6
High school graduate or GED completed,3 lbs,Yes,Yes,1,34.5,1910.5,5.5,34,46.8
