Anesthesia,Antibiotics_for_Mother,Induction_of_Labor,Steroids,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
Yes,Yes,Yes,Yes,0,27.65,2307.88,10.31,32.65,29.29,17
Yes,Yes,Yes,Yes,0,29.14,1540.01,8.3,29.83,29.4,110
Yes,Yes,Yes,Yes,0,28.78,1804.33,8.59,31.3,30.42,115
Yes,Yes,Yes,Yes,0,27.79,1887.41,9.33,32.37,29.38,141
Yes,Yes,Yes,Yes,0,27.58,2000.79,9.38,32.79,30.1,244
Yes,Yes,Yes,Yes,1,28.97,2039.04,9.59,33.0,30.41,453
Yes,Yes,Yes,Yes,1,28.48,2048.56,9.35,33.2,29.46,810
Yes,Yes,Yes,Yes,1,28.42,2110.62,9.75,33.45,29.76,1909
Yes,Yes,Yes,Yes,1,28.58,2281.47,10.11,34.29,29.07,6286
Yes,Yes,Yes,Yes,1,28.63,2512.55,10.73,35.48,28.5,22544
Yes,Yes,Yes,Yes,1,27.32,2677.01,11.1,36.0,28.82,257
Yes,Yes,Yes,No,0,27.8,2952.05,11.56,35.75,30.14,146
Yes,Yes,Yes,No,0,28.24,2635.81,10.45,34.8,29.33,854
Yes,Yes,Yes,No,0,27.61,3059.59,11.78,37.57,29.2,959
Yes,Yes,Yes,No,0,27.88,3204.24,11.72,38.2,29.53,1192
Yes,Yes,Yes,No,0,28.04,3237.79,11.97,38.49,29.61,1704
Yes,Yes,Yes,No,1,27.97,3210.23,11.99,38.4,29.51,2940
Yes,Yes,Yes,No,1,28.08,3213.28,12.02,38.36,29.25,5862
Yes,Yes,Yes,No,1,28.0,3230.9,11.89,38.37,29.18,13962
Yes,Yes,Yes,No,1,28.1,3286.75,11.92,38.62,28.89,67930
Yes,Yes,Yes,No,1,28.5,3344.87,12.04,38.98,28.29,559203
Yes,Yes,Yes,No,1,27.82,3371.06,12.17,39.04,28.44,11424
Yes,Yes,No,Yes,0,29.78,1440.24,7.05,28.73,28.61,102
Yes,Yes,No,Yes,0,28.33,1101.19,7.11,27.07,28.13,916
Yes,Yes,No,Yes,0,29.14,1232.54,7.69,27.84,29.18,775
Yes,Yes,No,Yes,0,28.49,1303.98,7.7,28.45,28.63,1002
Yes,Yes,No,Yes,0,28.83,1417.61,8.15,29.07,28.49,1374
Yes,Yes,No,Yes,1,29.12,1445.4,8.15,29.4,28.68,2234
Yes,Yes,No,Yes,1,29.1,1543.31,8.39,29.92,28.36,4352
Yes,Yes,No,Yes,1,29.34,1657.28,8.77,30.63,28.34,9250
Yes,Yes,No,Yes,1,29.49,1970.26,9.51,32.35,27.82,25087
Yes,Yes,No,Yes,1,29.34,2378.28,10.31,34.44,27.3,68416
Yes,Yes,No,Yes,1,28.32,2566.94,10.83,35.35,26.61,695
Yes,Yes,No,No,0,28.3,2437.44,9.45,33.21,28.63,478
Yes,Yes,No,No,0,28.55,1838.82,8.18,30.32,28.44,2552
Yes,Yes,No,No,0,28.34,2462.86,9.32,34.03,28.77,2269
Yes,Yes,No,No,0,28.51,2679.74,9.84,35.35,28.55,2692
Yes,Yes,No,No,0,28.42,2757.78,10.22,35.86,28.5,3832
Yes,Yes,No,No,1,28.65,2819.78,10.35,36.18,28.2,6721
Yes,Yes,No,No,1,28.73,2851.67,10.44,36.29,28.3,13206
Yes,Yes,No,No,1,28.86,2941.52,10.7,36.71,28.31,32087
Yes,Yes,No,No,1,28.95,3152.33,10.98,37.71,27.94,167277
Yes,Yes,No,No,1,29.2,3292.36,11.29,38.47,27.26,1368401
Yes,Yes,No,No,1,28.7,3334.39,11.37,38.57,27.4,28385
Yes,No,Yes,Yes,0,31.5,2354.67,12.25,32.25,31.43,12
Yes,No,Yes,Yes,0,29.09,1771.48,10.15,31.3,28.93,77
Yes,No,Yes,Yes,0,28.22,2032.79,10.35,32.65,30.23,63
Yes,No,Yes,Yes,0,28.19,2140.72,10.84,33.61,29.91,101
Yes,No,Yes,Yes,0,29.53,2216.71,10.45,34.06,28.66,148
Yes,No,Yes,Yes,1,28.31,2292.29,9.72,34.2,29.48,304
Yes,No,Yes,Yes,1,28.44,2198.88,10.23,33.91,29.46,584
Yes,No,Yes,Yes,1,28.83,2241.84,10.09,34.19,29.21,1332
Yes,No,Yes,Yes,1,28.61,2443.86,10.92,35.11,28.79,4785
Yes,No,Yes,Yes,1,28.65,2722.95,11.67,36.46,27.81,22311
Yes,No,Yes,Yes,1,28.0,2857.28,12.2,37.02,27.08,302
Yes,No,Yes,No,0,28.17,2949.48,11.25,36.18,29.4,309
Yes,No,Yes,No,0,28.28,2346.39,9.77,33.33,27.98,1783
Yes,No,Yes,No,0,27.76,3034.27,11.39,37.37,28.28,1887
Yes,No,Yes,No,0,27.89,3170.55,11.7,38.22,28.47,2224
Yes,No,Yes,No,0,27.81,3255.84,11.95,38.62,28.77,3298
Yes,No,Yes,No,1,27.87,3249.91,12.1,38.56,28.34,5684
Yes,No,Yes,No,1,27.9,3258.72,12.11,38.64,28.35,11193
Yes,No,Yes,No,1,27.9,3285.41,12.02,38.66,28.28,29535
Yes,No,Yes,No,1,27.99,3336.68,11.98,38.87,27.84,172023
