Month,Birthplace,Delivery,Fetalpresentation,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
January,Hospital,Vaginal,Cephalic,0,27.78,1948.11,8.06,30.03,27.83,172
January,Hospital,Vaginal,Cephalic,0,27.87,1354.81,6.65,26.65,28.9,880
January,Hospital,Vaginal,Cephalic,0,27.63,2263.18,8.61,32.5,27.41,602
January,Hospital,Vaginal,Cephalic,0,27.53,2775.35,10.08,35.71,27.6,647
January,Hospital,Vaginal,Cephalic,0,27.41,2875.56,10.15,36.63,26.93,905
January,Hospital,Vaginal,Cephalic,1,27.64,2981.93,10.46,37.04,26.97,1731
January,Hospital,Vaginal,Cephalic,1,27.52,3023.09,10.7,37.27,26.87,3248
January,Hospital,Vaginal,Cephalic,1,27.48,3121.27,10.78,37.72,26.83,8749
January,Hospital,Vaginal,Cephalic,1,27.65,3239.17,10.94,38.36,26.48,54638
January,Hospital,Vaginal,Cephalic,1,28.13,3297.63,11.15,38.78,26.12,517027
January,Hospital,Vaginal,Cephalic,1,27.59,3306.6,11.15,38.81,26.02,11454
January,Hospital,Vaginal,Breech,0,29.68,633.47,4.18,22.14,27.14,37
January,Hospital,Vaginal,Breech,0,27.99,552.79,4.81,22.09,28.85,285
January,Hospital,Vaginal,Breech,0,26.83,631.13,4.62,22.34,27.68,90
January,Hospital,Vaginal,Breech,0,28.29,1102.65,5.47,26.77,29.19,41
January,Hospital,Vaginal,Breech,0,30.39,946.17,5.34,25.77,27.61,31
January,Hospital,Vaginal,Breech,1,30.34,1499.2,7.14,29.63,28.03,41
January,Hospital,Vaginal,Breech,1,29.85,1959.06,8.68,31.85,28.1,52
January,Hospital,Vaginal,Breech,1,29.09,2045.56,8.73,33,27.31,116
January,Hospital,Vaginal,Breech,1,29.86,2519.31,10.28,35.63,26.4,302
January,Hospital,Vaginal,Breech,1,29.18,2939.97,10.58,37.53,26.22,1183
