Genus,Month,Delivery_type,Infant_Prevalence,Mother_Prevalence
Acidaminococcus,0,Vaginal,3,27
Acidovorax,0,Vaginal,0,1
Actinobacillus,0,Vaginal,2,0
Actinomyces,0,Vaginal,6,65
Aeromonas,0,Vaginal,0,0
Aggregatibacter,0,Vaginal,3,2
Akkermansia,0,Vaginal,1,42
Alicycliphilus,0,Vaginal,0,1
Alistipes,0,Vaginal,1,81
Anaerococcus,0,Vaginal,7,21
Anaerostipes,0,Vaginal,0,15
Anaerotruncus,0,Vaginal,0,83
Arcobacter,0,Vaginal,0,1
Avibacterium,0,Vaginal,0,0
Azotobacter,0,Vaginal,0,1
Bacteroides,0,Vaginal,71,83
Bifidobacterium,0,Vaginal,62,83
Bilophila,0,Vaginal,15,77
Blautia,0,Vaginal,3,83
Brachyspira,0,Vaginal,0,0
Brevundimonas,0,Vaginal,0,1
Bryantella,0,Vaginal,1,61
Butyrivibrio,0,Vaginal,4,78
Campylobacter,0,Vaginal,0,23
"Capnocytophaga,Paraprevotella",0,Vaginal,2,30
Catenibacterium,0,Vaginal,0,6
Chryseobacterium,0,Vaginal,0,1
Citrobacter,0,Vaginal,13,19
Clostridiales,0,Vaginal,0,58
Clostridium,0,Vaginal,48,83
"Clostridium,Coprobacillus",0,Vaginal,8,22
Collinsella,0,Vaginal,38,76
Comamonas,0,Vaginal,0,1
Coprobacillus,0,Vaginal,1,79
Coprococcus,0,Vaginal,3,83
Coriobacterium,0,Vaginal,0,0
Cronobacter,0,Vaginal,0,1
Delftia,0,Vaginal,0,1
Desulfovibrio,0,Vaginal,0,27
Dialister,0,Vaginal,1,80
Dickeya,0,Vaginal,0,0
Dorea,0,Vaginal,1,83
Edwardsiella,0,Vaginal,0,0
Eggerthella,0,Vaginal,15,75
Eikenella,0,Vaginal,0,0
Enterobacter,0,Vaginal,11,29
Enterobacteriaceae,0,Vaginal,0,2
Enterococcus,0,Vaginal,34,24
Erwinia,0,Vaginal,0,0
Erysipelotrichaceae,0,Vaginal,0,82
Escherichia,0,Vaginal,43,12
"Escherichia,Shigella",0,Vaginal,51,66
Eubacterium,0,Vaginal,17,83
Faecalibacterium,0,Vaginal,6,83
Finegoldia,0,Vaginal,6,15
Fusobacterium,0,Vaginal,1,9
Gallibacterium,0,Vaginal,0,0
Gardnerella,0,Vaginal,6,12
Gemella,0,Vaginal,46,20
Granulicatella,0,Vaginal,12,29
Haemophilus,0,Vaginal,18,38
Holdemania,0,Vaginal,1,83
Kingella,0,Vaginal,1,0
Klebsiella,0,Vaginal,7,5
Kocuria,0,Vaginal,0,0
Lachnospiraceae,0,Vaginal,3,78
Lactobacillus,0,Vaginal,25,65
Lactococcus,0,Vaginal,0,31
Leuconostoc,0,Vaginal,0,29
"Lysinibacillus,Bacillus",0,Vaginal,0,2
Macrococcus,0,Vaginal,0,0
Mannheimia,0,Vaginal,0,0
Megasphaera,0,Vaginal,1,6
Melissococcus,0,Vaginal,0,0
Methanobrevibacter,0,Vaginal,0,23
Methanosphaera,0,Vaginal,0,1
Micrococcus,0,Vaginal,0,0
Mitsuokella,0,Vaginal,1,3
Mobiluncus,0,Vaginal,1,2
Neisseria,0,Vaginal,7,2
Odoribacter,0,Vaginal,3,77
Olsenella,0,Vaginal,0,4
Pantoea,0,Vaginal,0,0
Parabacteroides,0,Vaginal,23,72
"Parabacteroides,Bacteroides",0,Vaginal,37,79
Parascardovia,0,Vaginal,0,2
Parasutterella,0,Vaginal,1,60
Pasteurella,0,Vaginal,0,0
Pectobacterium,0,Vaginal,0,0
Peptoniphilus,0,Vaginal,2,13
Peptostreptococcus,0,Vaginal,3,26
Phascolarctobacterium,0,Vaginal,2,30
Photorhabdus,0,Vaginal,0,0
Plautia,0,Vaginal,0,0
Porphyromonas,0,Vaginal,0,33
Prevotella,0,Vaginal,12,56
Propionibacterium,0,Vaginal,18,3
Proteus,0,Vaginal,0,0
Providencia,0,Vaginal,0,0
Pseudomonas,0,Vaginal,0,3
Pseudoxanthomonas,0,Vaginal,0,1
Rahnella,0,Vaginal,0,0
Roseburia,0,Vaginal,4,83
Rothia,0,Vaginal,43,40
Ruminococcaceae,0,Vaginal,0,83
Ruminococcus,0,Vaginal,22,83
Salmonella,0,Vaginal,1,0
Serratia,0,Vaginal,1,0
Slackia,0,Vaginal,0,3
Sodalis,0,Vaginal,0,0
Staphylococcus,0,Vaginal,61,11
Stenotrophomonas,0,Vaginal,0,1
Streptococcus,0,Vaginal,68,81
Subdoligranulum,0,Vaginal,1,83
Sutterella,0,Vaginal,13,49
Turicibacter,0,Vaginal,2,73
Ureaplasma,0,Vaginal,0,1
Veillonella,0,Vaginal,15,46
Victivallis,0,Vaginal,0,33
Xanthomonas,0,Vaginal,0,0
Xenorhabdus,0,Vaginal,0,0
Yersinia,0,Vaginal,0,1
Acidaminococcus,1,Vaginal,0.000789675,27
Acidovorax,1,Vaginal,0,1
Actinobacillus,1,Vaginal,0,0
Actinomyces,1,Vaginal,0.00244518,65
Aeromonas,1,Vaginal,0,0
Aggregatibacter,1,Vaginal,6.40E-06,2
Akkermansia,1,Vaginal,0.000998335,42
Alicycliphilus,1,Vaginal,0,1
Alistipes,1,Vaginal,0.001694215,81
Anaerococcus,1,Vaginal,0.000409367,21
Anaerostipes,1,Vaginal,0.000390976,15
Anaerotruncus,1,Vaginal,3.03E-05,83
Arcobacter,1,Vaginal,0,1
Avibacterium,1,Vaginal,0,0
Azotobacter,1,Vaginal,0,1
Bacteroides,1,Vaginal,0.2374693,83
Bifidobacterium,1,Vaginal,0.422160133,83
Bilophila,1,Vaginal,0.002559396,77
Blautia,1,Vaginal,1.36E-05,83
Brachyspira,1,Vaginal,0,0
Brevundimonas,1,Vaginal,0,1
Bryantella,1,Vaginal,3.73E-05,61
Butyrivibrio,1,Vaginal,2.90E-06,78
Campylobacter,1,Vaginal,0.000993304,23
"Capnocytophaga,Paraprevotella",1,Vaginal,0.002628347,30
Catenibacterium,1,Vaginal,0,6
Chryseobacterium,1,Vaginal,0,1
Citrobacter,1,Vaginal,0.002803597,19
Clostridiales,1,Vaginal,0.000226993,58
Clostridium,1,Vaginal,0.012626231,83
"Clostridium,Coprobacillus",1,Vaginal,0.008408469,22
Collinsella,1,Vaginal,0.0439528,76
Comamonas,1,Vaginal,0,1
Coprobacillus,1,Vaginal,9.60E-05,79
Coprococcus,1,Vaginal,3.19E-05,83
Coriobacterium,1,Vaginal,0,0
Cronobacter,1,Vaginal,0,1
Delftia,1,Vaginal,0,1
Desulfovibrio,1,Vaginal,4.37E-06,27
Dialister,1,Vaginal,4.80E-06,80
Dickeya,1,Vaginal,0,0
Dorea,1,Vaginal,0.00154268,83
Edwardsiella,1,Vaginal,0,0
Eggerthella,1,Vaginal,0.002341542,75
Eikenella,1,Vaginal,0,0
Enterobacter,1,Vaginal,0.004233547,29
Enterobacteriaceae,1,Vaginal,0.000907792,2
Enterococcus,1,Vaginal,0.020579641,24
Erwinia,1,Vaginal,0,0
Erysipelotrichaceae,1,Vaginal,0.000343226,82
Escherichia,1,Vaginal,0.000485366,12
"Escherichia,Shigella",1,Vaginal,0.052273425,66
Eubacterium,1,Vaginal,0.003962486,83
Faecalibacterium,1,Vaginal,1.27E-05,83
Finegoldia,1,Vaginal,0.00056887,15
Fusobacterium,1,Vaginal,2.97E-05,9
Gallibacterium,1,Vaginal,0,0
Gardnerella,1,Vaginal,3.72E-05,12
Gemella,1,Vaginal,9.70E-05,20
Granulicatella,1,Vaginal,0.000149532,29
Haemophilus,1,Vaginal,0.001468645,38
Holdemania,1,Vaginal,3.04E-06,83
Kingella,1,Vaginal,8.34E-07,0
Klebsiella,1,Vaginal,0.002715702,5
Kocuria,1,Vaginal,3.61E-07,0
Lachnospiraceae,1,Vaginal,1.56E-05,78
Lactobacillus,1,Vaginal,0.02433526,65
Lactococcus,1,Vaginal,4.23E-07,31
Leuconostoc,1,Vaginal,9.95E-07,29
"Lysinibacillus,Bacillus",1,Vaginal,0,2
Macrococcus,1,Vaginal,0,0
Mannheimia,1,Vaginal,0,0
Megasphaera,1,Vaginal,0.000298988,6
Melissococcus,1,Vaginal,0,0
Methanobrevibacter,1,Vaginal,0,23
Methanosphaera,1,Vaginal,0,1
Micrococcus,1,Vaginal,0,0
Mitsuokella,1,Vaginal,4.70E-07,3
Mobiluncus,1,Vaginal,1.41E-05,2
Neisseria,1,Vaginal,3.64E-05,2
Odoribacter,1,Vaginal,0.00186002,77
Olsenella,1,Vaginal,1.58E-05,4
Pantoea,1,Vaginal,0,0
Parabacteroides,1,Vaginal,0.021607535,72
"Parabacteroides,Bacteroides",1,Vaginal,0.01766028,79
Parascardovia,1,Vaginal,8.66E-06,2
Parasutterella,1,Vaginal,7.05E-07,60
Pasteurella,1,Vaginal,0,0
Pectobacterium,1,Vaginal,0,0
Peptoniphilus,1,Vaginal,0.00040874,13
Peptostreptococcus,1,Vaginal,0.000198806,26
Phascolarctobacterium,1,Vaginal,4.87E-06,30
Photorhabdus,1,Vaginal,0,0
Plautia,1,Vaginal,0,0
Porphyromonas,1,Vaginal,7.70E-05,33
Prevotella,1,Vaginal,0.00818379,56
Propionibacterium,1,Vaginal,1.19E-05,3
Proteus,1,Vaginal,2.73E-05,0
Providencia,1,Vaginal,0,0
Pseudomonas,1,Vaginal,1.96E-06,3
Pseudoxanthomonas,1,Vaginal,0,1
Rahnella,1,Vaginal,8.25E-06,0
Roseburia,1,Vaginal,0.000432315,83
Rothia,1,Vaginal,0.000894201,40
Ruminococcaceae,1,Vaginal,2.72E-05,83
Ruminococcus,1,Vaginal,0.04579562,83
Salmonella,1,Vaginal,7.17E-06,0
Serratia,1,Vaginal,3.36E-07,0
Slackia,1,Vaginal,8.90E-07,3
Sodalis,1,Vaginal,0,0
Staphylococcus,1,Vaginal,0.00076395,11
Stenotrophomonas,1,Vaginal,4.22E-07,1
Streptococcus,1,Vaginal,0.013470205,81
Subdoligranulum,1,Vaginal,3.72E-06,83
Sutterella,1,Vaginal,0.004070758,49
Turicibacter,1,Vaginal,2.16E-06,73
Ureaplasma,1,Vaginal,5.28E-07,1
Veillonella,1,Vaginal,0.027146747,46
Victivallis,1,Vaginal,0,33
Xanthomonas,1,Vaginal,0,0
Xenorhabdus,1,Vaginal,0,0
Yersinia,1,Vaginal,6.88E-05,1
Acidaminococcus,0,C-section,0,3
Acidovorax,0,C-section,0,0
Actinobacillus,0,C-section,1,0
Actinomyces,0,C-section,4,10
Aeromonas,0,C-section,0,1
Aggregatibacter,0,C-section,5,0
Akkermansia,0,C-section,1,5
Alicycliphilus,0,C-section,0,0
Alistipes,0,C-section,0,13
Anaerococcus,0,C-section,0,4
Anaerostipes,0,C-section,0,1
Anaerotruncus,0,C-section,0,15
Arcobacter,0,C-section,0,0
Avibacterium,0,C-section,0,0
Azotobacter,0,C-section,0,0
Bacteroides,0,C-section,2,15
Bifidobacterium,0,C-section,7,15
Bilophila,0,C-section,0,12
Blautia,0,C-section,0,15
Brachyspira,0,C-section,0,0
Brevundimonas,0,C-section,0,0
Bryantella,0,C-section,0,9
Butyrivibrio,0,C-section,1,11
Campylobacter,0,C-section,0,2
"Capnocytophaga,Paraprevotella",0,C-section,0,5
Catenibacterium,0,C-section,0,1
Chryseobacterium,0,C-section,0,0
Citrobacter,0,C-section,4,7
Clostridiales,0,C-section,0,9
Clostridium,0,C-section,8,15
"Clostridium,Coprobacillus",0,C-section,2,5
Collinsella,0,C-section,1,14
Comamonas,0,C-section,0,0
Coprobacillus,0,C-section,0,11
Coprococcus,0,C-section,0,14
Coriobacterium,0,C-section,0,0
Cronobacter,0,C-section,0,0
Delftia,0,C-section,0,0
Desulfovibrio,0,C-section,0,4
Dialister,0,C-section,0,12
Dickeya,0,C-section,0,0
Dorea,0,C-section,0,14
Edwardsiella,0,C-section,0,0
Eggerthella,0,C-section,1,13
Eikenella,0,C-section,0,0
Enterobacter,0,C-section,4,5
Enterobacteriaceae,0,C-section,0,0
Enterococcus,0,C-section,8,2
Erwinia,0,C-section,0,0
Erysipelotrichaceae,0,C-section,0,14
Escherichia,0,C-section,2,9
"Escherichia,Shigella",0,C-section,4,13
Eubacterium,0,C-section,1,14
Faecalibacterium,0,C-section,1,15
Finegoldia,0,C-section,1,3
Fusobacterium,0,C-section,0,0
Gallibacterium,0,C-section,0,0
Gardnerella,0,C-section,0,1
Gemella,0,C-section,11,2
Granulicatella,0,C-section,4,9
Haemophilus,0,C-section,12,9
Holdemania,0,C-section,0,13
Kingella,0,C-section,0,0
Klebsiella,0,C-section,3,1
Kocuria,0,C-section,0,0
Lachnospiraceae,0,C-section,1,9
Lactobacillus,0,C-section,3,14
Lactococcus,0,C-section,0,8
Leuconostoc,0,C-section,0,9
"Lysinibacillus,Bacillus",0,C-section,0,0
Macrococcus,0,C-section,0,0
Mannheimia,0,C-section,0,0
Megasphaera,0,C-section,0,2
Melissococcus,0,C-section,0,0
Methanobrevibacter,0,C-section,0,6
Methanosphaera,0,C-section,0,1
Micrococcus,0,C-section,0,0
Mitsuokella,0,C-section,0,0
Mobiluncus,0,C-section,0,1
Neisseria,0,C-section,3,0
Odoribacter,0,C-section,0,11
Olsenella,0,C-section,0,0
Pantoea,0,C-section,0,0
Parabacteroides,0,C-section,0,11
"Parabacteroides,Bacteroides",0,C-section,0,13
Parascardovia,0,C-section,0,0
Parasutterella,0,C-section,0,8
Pasteurella,0,C-section,0,0
Pectobacterium,0,C-section,0,0
Peptoniphilus,0,C-section,0,4
Peptostreptococcus,0,C-section,0,5
Phascolarctobacterium,0,C-section,0,8
Photorhabdus,0,C-section,0,0
Plautia,0,C-section,0,0
Porphyromonas,0,C-section,0,2
Prevotella,0,C-section,2,10
Propionibacterium,0,C-section,5,1
Proteus,0,C-section,0,2
Providencia,0,C-section,0,0
Pseudomonas,0,C-section,0,0
Pseudoxanthomonas,0,C-section,0,0
Rahnella,0,C-section,0,0
Roseburia,0,C-section,0,14
Rothia,0,C-section,11,6
Ruminococcaceae,0,C-section,0,14
Ruminococcus,0,C-section,2,15
Salmonella,0,C-section,0,0
Serratia,0,C-section,0,0
Slackia,0,C-section,0,1
Sodalis,0,C-section,0,0
Staphylococcus,0,C-section,13,4
Stenotrophomonas,0,C-section,0,0
Streptococcus,0,C-section,13,15
Subdoligranulum,0,C-section,0,15
Sutterella,0,C-section,0,10
Turicibacter,0,C-section,0,11
Ureaplasma,0,C-section,0,1
Veillonella,0,C-section,6,8
Victivallis,0,C-section,0,4
Xanthomonas,0,C-section,0,0
Xenorhabdus,0,C-section,0,0
Yersinia,0,C-section,0,0
Acidaminococcus,1,C-section,0,3
Acidovorax,1,C-section,0,0
Actinobacillus,1,C-section,0,0
Actinomyces,1,C-section,14,10
Aeromonas,1,C-section,0,1
Aggregatibacter,1,C-section,0,0
Akkermansia,1,C-section,1,5
Alicycliphilus,1,C-section,0,0
Alistipes,1,C-section,0,13
Anaerococcus,1,C-section,8,4
